# Grammatical Features
#Locale	ID	Feature	Usage	Values
Latvian	lv	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative
Latvian	lv	grammaticalCase	units	nominative, accusative, genitive, locative, dative
Latvian	lv	grammaticalGender	general	masculine, feminine

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	zero	{0} diennakšu	<div class='cldr_example'><span class='cldr_substituted'>10</span> diennakšu</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> diennakšu</div>
Plural	one	{0} diennakts	<div class='cldr_example'><span class='cldr_substituted'>1</span> diennakts</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> diennakts</div>
Plural	other	{0} diennaktis	<div class='cldr_example'><span class='cldr_substituted'>2</span> diennaktis</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> diennaktis</div>
Case (for measurement units)	nominative	pagājusi {0}	<div class='cldr_example'>pagājusi <span class='cldr_substituted'>1 megapikselis</span></div><div class='cldr_example'>❌  pagājusi <span class='cldr_substituted'>1 megapikseli</span></div>
Case (for measurement units)	accusative	palikt {0}	<div class='cldr_example'>palikt <span class='cldr_substituted'>1 megapikseli</span></div><div class='cldr_example'>❌  palikt <span class='cldr_substituted'>1 megapikselim</span></div>
Case (for measurement units)	genitive	{0} brauciens	<div class='cldr_example'><span class='cldr_substituted'>10 MP</span> brauciens</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 megapikseli</span> brauciens</div>
Case (for measurement units)	locative	izdarīts {0}	<div class='cldr_example'>izdarīts <span class='cldr_substituted'>1 megapikselī</span></div><div class='cldr_example'>❌  izdarīts <span class='cldr_substituted'>1 megapikseli</span></div>
Case (for measurement units)	dative	pietiks {0}	<div class='cldr_example'>pietiks <span class='cldr_substituted'>1 megapikselim</span></div><div class='cldr_example'>❌  pietiks <span class='cldr_substituted'>1 megapikseli</span></div>
Gender (for measurement units)	masculine	viens {0}	<div class='cldr_example'>viens <span class='cldr_substituted'>centimetrs</span></div><div class='cldr_example'>❌  viens <span class='cldr_substituted'>diena</span></div>
Gender (for measurement units)	feminine	gara {0}	<div class='cldr_example'>gara <span class='cldr_substituted'>diena</span></div><div class='cldr_example'>❌  gara <span class='cldr_substituted'>centimetrs</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for zero	Case MP + pattern with 10.0	Pattern for one	Case MP + pattern with 21.0	Pattern for other	Case MP + pattern with 3.0
graphics	pixel • ( = 1 px)	masculine	viens pikselis	nominative	{0} px	pagājusi 10 px	{0} pikselis	pagājusi 21 pikselis	{0} pikseļi	pagājusi 3 pikseļi
graphics	pixel • ( = 1 px)	masculine	viens pikselis	accusative	{0} px	palikt 10 px	{0} pikseli	palikt 21 pikseli	{0} pikseļus	palikt 3 pikseļus
graphics	pixel • ( = 1 px)	masculine	viens pikselis	genitive	{0} px	10 px brauciens	{0} pikseļa	21 pikseļa brauciens	{0} pikseļu	3 pikseļu brauciens
graphics	pixel • ( = 1 px)	masculine	viens pikselis	locative	{0} px	izdarīts 10 px	{0} pikselī	izdarīts 21 pikselī	{0} pikseļos	izdarīts 3 pikseļos
graphics	pixel • ( = 1 px)	masculine	viens pikselis	dative	{0} px	pietiks 10 px	{0} pikselim	pietiks 21 pikselim	{0} pikseļiem	pietiks 3 pikseļiem
graphics	megapixels	masculine	viens megapikselis	nominative	{0} MP	pagājusi 10 MP	{0} megapikselis	pagājusi 21 megapikselis	{0} megapikseļi	pagājusi 3 megapikseļi
graphics	megapixels	masculine	viens megapikselis	accusative	{0} MP	palikt 10 MP	{0} megapikseli	palikt 21 megapikseli	{0} megapikseļus	palikt 3 megapikseļus
graphics	megapixels	masculine	viens megapikselis	genitive	{0} MP	10 MP brauciens	{0} megapikseļa	21 megapikseļa brauciens	{0} megapikseļu	3 megapikseļu brauciens
graphics	megapixels	masculine	viens megapikselis	locative	{0} MP	izdarīts 10 MP	{0} megapikselī	izdarīts 21 megapikselī	{0} megapikseļos	izdarīts 3 megapikseļos
graphics	megapixels	masculine	viens megapikselis	dative	{0} MP	pietiks 10 MP	{0} megapikselim	pietiks 21 megapikselim	{0} megapikseļiem	pietiks 3 megapikseļiem
illuminance	lux	masculine	viens lukss	nominative	{0} luksu	pagājusi 10 luksu	{0} lukss	pagājusi 21 lukss	{0} luksi	pagājusi 3 luksi
illuminance	lux	masculine	viens lukss	accusative	{0} luksu	palikt 10 luksu	{0} luksu	palikt 21 luksu	{0} luksus	palikt 3 luksus
illuminance	lux	masculine	viens lukss	genitive	{0} luksu	10 luksu brauciens	{0} luksa	21 luksa brauciens	{0} luksu	3 luksu brauciens
illuminance	lux	masculine	viens lukss	locative	{0} luksu	izdarīts 10 luksu	{0} luksā	izdarīts 21 luksā	{0} luksos	izdarīts 3 luksos
illuminance	lux	masculine	viens lukss	dative	{0} luksu	pietiks 10 luksu	{0} luksam	pietiks 21 luksam	{0} luksiem	pietiks 3 luksiem
length	picometers	masculine	viens pikometrs	nominative	{0} pikometru	pagājusi 10 pikometru	{0} pikometrs	pagājusi 21 pikometrs	{0} pikometri	pagājusi 3 pikometri
length	picometers	masculine	viens pikometrs	accusative	{0} pikometru	palikt 10 pikometru	{0} pikometru	palikt 21 pikometru	{0} pikometrus	palikt 3 pikometrus
length	picometers	masculine	viens pikometrs	genitive	{0} pikometru	10 pikometru brauciens	{0} pikometra	21 pikometra brauciens	{0} pikometru	3 pikometru brauciens
length	picometers	masculine	viens pikometrs	locative	{0} pikometru	izdarīts 10 pikometru	{0} pikometrā	izdarīts 21 pikometrā	{0} pikometros	izdarīts 3 pikometros
length	picometers	masculine	viens pikometrs	dative	{0} pikometru	pietiks 10 pikometru	{0} pikometram	pietiks 21 pikometram	{0} pikometriem	pietiks 3 pikometriem
length	nanometers	masculine	viens nanometrs	nominative	{0} nanometru	pagājusi 10 nanometru	{0} nanometrs	pagājusi 21 nanometrs	{0} nanometri	pagājusi 3 nanometri
length	nanometers	masculine	viens nanometrs	accusative	{0} nanometru	palikt 10 nanometru	{0} nanometru	palikt 21 nanometru	{0} nanometrus	palikt 3 nanometrus
length	nanometers	masculine	viens nanometrs	genitive	{0} nanometru	10 nanometru brauciens	{0} nanometra	21 nanometra brauciens	{0} nanometru	3 nanometru brauciens
length	nanometers	masculine	viens nanometrs	locative	{0} nanometru	izdarīts 10 nanometru	{0} nanometrā	izdarīts 21 nanometrā	{0} nanometros	izdarīts 3 nanometros
length	nanometers	masculine	viens nanometrs	dative	{0} nanometru	pietiks 10 nanometru	{0} nanometram	pietiks 21 nanometram	{0} nanometriem	pietiks 3 nanometriem
length	micrometers	masculine	viens mikrometrs	nominative	{0} mikrometru	pagājusi 10 mikrometru	{0} mikrometrs	pagājusi 21 mikrometrs	{0} mikrometri	pagājusi 3 mikrometri
length	micrometers	masculine	viens mikrometrs	accusative	{0} mikrometru	palikt 10 mikrometru	{0} mikrometru	palikt 21 mikrometru	{0} mikrometrus	palikt 3 mikrometrus
length	micrometers	masculine	viens mikrometrs	genitive	{0} mikrometru	10 mikrometru brauciens	{0} mikrometra	21 mikrometra brauciens	{0} mikrometru	3 mikrometru brauciens
length	micrometers	masculine	viens mikrometrs	locative	{0} mikrometru	izdarīts 10 mikrometru	{0} mikrometrā	izdarīts 21 mikrometrā	{0} mikrometros	izdarīts 3 mikrometros
length	micrometers	masculine	viens mikrometrs	dative	{0} mikrometru	pietiks 10 mikrometru	{0} mikrometram	pietiks 21 mikrometram	{0} mikrometriem	pietiks 3 mikrometriem
length	millimeters	masculine	viens milimetrs	nominative	{0} milimetru	pagājusi 10 milimetru	{0} milimetrs	pagājusi 21 milimetrs	{0} milimetri	pagājusi 3 milimetri
length	millimeters	masculine	viens milimetrs	accusative	{0} milimetru	palikt 10 milimetru	{0} milimetru	palikt 21 milimetru	{0} milimetrus	palikt 3 milimetrus
length	millimeters	masculine	viens milimetrs	genitive	{0} milimetru	10 milimetru brauciens	{0} milimetra	21 milimetra brauciens	{0} milimetru	3 milimetru brauciens
length	millimeters	masculine	viens milimetrs	locative	{0} milimetru	izdarīts 10 milimetru	{0} milimetrā	izdarīts 21 milimetrā	{0} milimetos	izdarīts 3 milimetos
length	millimeters	masculine	viens milimetrs	dative	{0} milimetru	pietiks 10 milimetru	{0} milimetram	pietiks 21 milimetram	{0} milimetriem	pietiks 3 milimetriem
length	centimeters	masculine	viens centimetrs	nominative	{0} centimetru	pagājusi 10 centimetru	{0} centimetrs	pagājusi 21 centimetrs	{0} centimetri	pagājusi 3 centimetri
length	centimeters	masculine	viens centimetrs	accusative	{0} centimetru	palikt 10 centimetru	{0} centimetru	palikt 21 centimetru	{0} centimetrus	palikt 3 centimetrus
length	centimeters	masculine	viens centimetrs	genitive	{0} centimetru	10 centimetru brauciens	{0} centimetra	21 centimetra brauciens	{0} centimetru	3 centimetru brauciens
length	centimeters	masculine	viens centimetrs	locative	{0} centimetru	izdarīts 10 centimetru	{0} centimetrā	izdarīts 21 centimetrā	{0} centimetros	izdarīts 3 centimetros
length	centimeters	masculine	viens centimetrs	dative	{0} centimetru	pietiks 10 centimetru	{0} centimetram	pietiks 21 centimetram	{0} centimetriem	pietiks 3 centimetriem
length	decimeters	masculine	viens decimetrs	nominative	{0} decimetru	pagājusi 10 decimetru	{0} decimetrs	pagājusi 21 decimetrs	{0} decimetri	pagājusi 3 decimetri
length	decimeters	masculine	viens decimetrs	accusative	{0} decimetru	palikt 10 decimetru	{0} decimetru	palikt 21 decimetru	{0} decimetrus	palikt 3 decimetrus
length	decimeters	masculine	viens decimetrs	genitive	{0} decimetru	10 decimetru brauciens	{0} decimetra	21 decimetra brauciens	{0} decimetru	3 decimetru brauciens
length	decimeters	masculine	viens decimetrs	locative	{0} decimetru	izdarīts 10 decimetru	{0} decimetrā	izdarīts 21 decimetrā	{0} decimetros	izdarīts 3 decimetros
length	decimeters	masculine	viens decimetrs	dative	{0} decimetru	pietiks 10 decimetru	{0} decimetram	pietiks 21 decimetram	{0} decimetriem	pietiks 3 decimetriem
length	meters	masculine	viens metrs	nominative	{0} metru	pagājusi 10 metru	{0} metrs	pagājusi 21 metrs	{0} metri	pagājusi 3 metri
length	meters	masculine	viens metrs	accusative	{0} metru	palikt 10 metru	{0} metru	palikt 21 metru	{0} metrus	palikt 3 metrus
length	meters	masculine	viens metrs	genitive	{0} metru	10 metru brauciens	{0} metra	21 metra brauciens	{0} metru	3 metru brauciens
length	meters	masculine	viens metrs	locative	{0} metru	izdarīts 10 metru	{0} metrā	izdarīts 21 metrā	{0} metros	izdarīts 3 metros
length	meters	masculine	viens metrs	dative	{0} metru	pietiks 10 metru	{0} metram	pietiks 21 metram	{0} metriem	pietiks 3 metriem
length	kilometers	masculine	viens kilometrs	nominative	{0} kilometru	pagājusi 10 kilometru	{0} kilometrs	pagājusi 21 kilometrs	{0} kilometri	pagājusi 3 kilometri
length	kilometers	masculine	viens kilometrs	accusative	{0} kilometru	palikt 10 kilometru	{0} kilometru	palikt 21 kilometru	{0} kilometrus	palikt 3 kilometrus
length	kilometers	masculine	viens kilometrs	genitive	{0} kilometru	10 kilometru brauciens	{0} kilometra	21 kilometra brauciens	{0} kilometru	3 kilometru brauciens
length	kilometers	masculine	viens kilometrs	locative	{0} kilometru	izdarīts 10 kilometru	{0} kilometrā	izdarīts 21 kilometrā	{0} kilometros	izdarīts 3 kilometros
length	kilometers	masculine	viens kilometrs	dative	{0} kilometru	pietiks 10 kilometru	{0} kilometram	pietiks 21 kilometram	{0} kilometriem	pietiks 3 kilometriem
length	mile-scandinavian • ( = 10 km)	feminine	gara skandināvu jūdze	nominative	{0} skandināvu jūdžu	pagājusi 10 skandināvu jūdžu	{0} skandināvu jūdze	pagājusi 21 skandināvu jūdze	{0} skandināvu jūdzes	pagājusi 3 skandināvu jūdzes
length	mile-scandinavian • ( = 10 km)	feminine	gara skandināvu jūdze	accusative	{0} skandināvu jūdžu	palikt 10 skandināvu jūdžu	{0} skandināvu jūdzi	palikt 21 skandināvu jūdzi	{0} skandināvu jūdzes	palikt 3 skandināvu jūdzes
length	mile-scandinavian • ( = 10 km)	feminine	gara skandināvu jūdze	genitive	{0} skandināvu jūdžu	10 skandināvu jūdžu brauciens	{0} skandināvu jūdzes	21 skandināvu jūdzes brauciens	{0} skandināvu jūdžu	3 skandināvu jūdžu brauciens
length	mile-scandinavian • ( = 10 km)	feminine	gara skandināvu jūdze	locative	{0} skandināvu jūdžu	izdarīts 10 skandināvu jūdžu	{0} skandināvu jūdzē	izdarīts 21 skandināvu jūdzē	{0} skandināvu jūdzēs	izdarīts 3 skandināvu jūdzēs
length	mile-scandinavian • ( = 10 km)	feminine	gara skandināvu jūdze	dative	{0} skandināvu jūdžu	pietiks 10 skandināvu jūdžu	{0} skandināvu jūdzei	pietiks 21 skandināvu jūdzei	{0} skandināvu jūdzēm	pietiks 3 skandināvu jūdzēm
luminous-flux	lumen	masculine	viens lūmens	nominative	{0} lūmenu	pagājusi 10 lūmenu	{0} lūmens	pagājusi 21 lūmens	{0} lūmeni	pagājusi 3 lūmeni
luminous-flux	lumen	masculine	viens lūmens	accusative	{0} lūmenu	palikt 10 lūmenu	{0} lūmenu	palikt 21 lūmenu	{0} lūmenus	palikt 3 lūmenus
luminous-flux	lumen	masculine	viens lūmens	genitive	{0} lūmenu	10 lūmenu brauciens	{0} lūmena	21 lūmena brauciens	{0} lūmenu	3 lūmenu brauciens
luminous-flux	lumen	masculine	viens lūmens	locative	{0} lūmenu	izdarīts 10 lūmenu	{0} lūmenā	izdarīts 21 lūmenā	{0} lūmenos	izdarīts 3 lūmenos
luminous-flux	lumen	masculine	viens lūmens	dative	{0} lūmenu	pietiks 10 lūmenu	{0} lūmenam	pietiks 21 lūmenam	{0} lūmeniem	pietiks 3 lūmeniem
luminous-intensity	candela	feminine	gara kandela	nominative	{0} kandelu	pagājusi 10 kandelu	{0} kandela	pagājusi 21 kandela	{0} kandelas	pagājusi 3 kandelas
luminous-intensity	candela	feminine	gara kandela	accusative	{0} kandelu	palikt 10 kandelu	{0} kandelu	palikt 21 kandelu	{0} kandelas	palikt 3 kandelas
luminous-intensity	candela	feminine	gara kandela	genitive	{0} kandelu	10 kandelu brauciens	{0} kandelas	21 kandelas brauciens	{0} kandelu	3 kandelu brauciens
luminous-intensity	candela	feminine	gara kandela	locative	{0} kandelu	izdarīts 10 kandelu	{0} kandelā	izdarīts 21 kandelā	{0} kandelām	izdarīts 3 kandelām
luminous-intensity	candela	feminine	gara kandela	dative	{0} kandelu	pietiks 10 kandelu	{0} kandelai	pietiks 21 kandelai	{0} kandelām	pietiks 3 kandelām
mass	micrograms	masculine	viens mikrograms	nominative	{0} mikrogramu	pagājusi 10 mikrogramu	{0} mikrograms	pagājusi 21 mikrograms	{0} mikrogrami	pagājusi 3 mikrogrami
mass	micrograms	masculine	viens mikrograms	accusative	{0} mikrogramu	palikt 10 mikrogramu	{0} mikrogramu	palikt 21 mikrogramu	{0} mikrogramus	palikt 3 mikrogramus
mass	micrograms	masculine	viens mikrograms	genitive	{0} mikrogramu	10 mikrogramu brauciens	{0} mikrograma	21 mikrograma brauciens	{0} mikrogramu	3 mikrogramu brauciens
mass	micrograms	masculine	viens mikrograms	locative	{0} mikrogramu	izdarīts 10 mikrogramu	{0} mikrogramā	izdarīts 21 mikrogramā	{0} mikrogramos	izdarīts 3 mikrogramos
mass	micrograms	masculine	viens mikrograms	dative	{0} mikrogramu	pietiks 10 mikrogramu	{0} mikrogramam	pietiks 21 mikrogramam	{0} mikrogramiem	pietiks 3 mikrogramiem
mass	milligrams	masculine	viens miligrams	nominative	{0} miligramu	pagājusi 10 miligramu	{0} miligrams	pagājusi 21 miligrams	{0} miligrami	pagājusi 3 miligrami
mass	milligrams	masculine	viens miligrams	accusative	{0} miligramu	palikt 10 miligramu	{0} miligramu	palikt 21 miligramu	{0} miligramus	palikt 3 miligramus
mass	milligrams	masculine	viens miligrams	genitive	{0} miligramu	10 miligramu brauciens	{0} miligrama	21 miligrama brauciens	{0} miligramu	3 miligramu brauciens
mass	milligrams	masculine	viens miligrams	locative	{0} miligramu	izdarīts 10 miligramu	{0} miligramā	izdarīts 21 miligramā	{0} miligramos	izdarīts 3 miligramos
mass	milligrams	masculine	viens miligrams	dative	{0} miligramu	pietiks 10 miligramu	{0} miligramam	pietiks 21 miligramam	{0} miligramiem	pietiks 3 miligramiem
mass	carat • ( = 200 mg)	masculine	viens karāts	nominative	{0} karātu	pagājusi 10 karātu	{0} karāts	pagājusi 21 karāts	{0} karāti	pagājusi 3 karāti
mass	carat • ( = 200 mg)	masculine	viens karāts	accusative	{0} karātu	palikt 10 karātu	{0} karātu	palikt 21 karātu	{0} karātus	palikt 3 karātus
mass	carat • ( = 200 mg)	masculine	viens karāts	genitive	{0} karātu	10 karātu brauciens	{0} karāta	21 karāta brauciens	{0} karātu	3 karātu brauciens
mass	carat • ( = 200 mg)	masculine	viens karāts	locative	{0} karātu	izdarīts 10 karātu	{0} karātā	izdarīts 21 karātā	{0} karātos	izdarīts 3 karātos
mass	carat • ( = 200 mg)	masculine	viens karāts	dative	{0} karātu	pietiks 10 karātu	{0} karātam	pietiks 21 karātam	{0} karātiem	pietiks 3 karātiem
mass	grams	masculine	viens grams	nominative	{0} gramu	pagājusi 10 gramu	{0} grams	pagājusi 21 grams	{0} grami	pagājusi 3 grami
mass	grams	masculine	viens grams	accusative	{0} gramu	palikt 10 gramu	{0} gramu	palikt 21 gramu	{0} gramus	palikt 3 gramus
mass	grams	masculine	viens grams	genitive	{0} gramu	10 gramu brauciens	{0} grama	21 grama brauciens	{0} gramu	3 gramu brauciens
mass	grams	masculine	viens grams	locative	{0} gramu	izdarīts 10 gramu	{0} gramā	izdarīts 21 gramā	{0} gramos	izdarīts 3 gramos
mass	grams	masculine	viens grams	dative	{0} gramu	pietiks 10 gramu	{0} gramam	pietiks 21 gramam	{0} gramiem	pietiks 3 gramiem
mass	kilograms	masculine	viens kilograms	nominative	{0} kilogramu	pagājusi 10 kilogramu	{0} kilograms	pagājusi 21 kilograms	{0} kilogrami	pagājusi 3 kilogrami
mass	kilograms	masculine	viens kilograms	accusative	{0} kilogramu	palikt 10 kilogramu	{0} kilogramu	palikt 21 kilogramu	{0} kilogramus	palikt 3 kilogramus
mass	kilograms	masculine	viens kilograms	genitive	{0} kilogramu	10 kilogramu brauciens	{0} kilograma	21 kilograma brauciens	{0} kilogramu	3 kilogramu brauciens
mass	kilograms	masculine	viens kilograms	locative	{0} kilogramu	izdarīts 10 kilogramu	{0} kilogramā	izdarīts 21 kilogramā	{0} kilogramos	izdarīts 3 kilogramos
mass	kilograms	masculine	viens kilograms	dative	{0} kilogramu	pietiks 10 kilogramu	{0} kilogramam	pietiks 21 kilogramam	{0} kilogramiem	pietiks 3 kilogramiem
mass	metric tons	feminine	gara metriskā tonna	nominative	{0} metrisko tonnu	pagājusi 10 metrisko tonnu	{0} metriskā tonna	pagājusi 21 metriskā tonna	{0} metriskās tonnas	pagājusi 3 metriskās tonnas
mass	metric tons	feminine	gara metriskā tonna	accusative	{0} metrisko tonnu	palikt 10 metrisko tonnu	{0} metrisko tonnu	palikt 21 metrisko tonnu	{0} metriskās tonnas	palikt 3 metriskās tonnas
mass	metric tons	feminine	gara metriskā tonna	genitive	{0} metrisko tonnu	10 metrisko tonnu brauciens	{0} metriskās tonnas	21 metriskās tonnas brauciens	{0} metrisko tonnu	3 metrisko tonnu brauciens
mass	metric tons	feminine	gara metriskā tonna	locative	{0} metrisko tonnu	izdarīts 10 metrisko tonnu	{0} metriskajā tonnā	izdarīts 21 metriskajā tonnā	{0} metriskajās tonnās	izdarīts 3 metriskajās tonnās
mass	metric tons	feminine	gara metriskā tonna	dative	{0} metrisko tonnu	pietiks 10 metrisko tonnu	{0} metriskajai tonnai	pietiks 21 metriskajai tonnai	{0} metriskajām tonnām	pietiks 3 metriskajām tonnām
portion	parts per million	feminine	gara miljonā daļa	nominative	{0} miljono daļu	pagājusi 10 miljono daļu	{0} miljonā daļa	pagājusi 21 miljonā daļa	{0} miljonās daļas	pagājusi 3 miljonās daļas
portion	parts per million	feminine	gara miljonā daļa	accusative	{0} miljono daļu	palikt 10 miljono daļu	{0} miljono daļu	palikt 21 miljono daļu	{0} miljonās daļas	palikt 3 miljonās daļas
portion	parts per million	feminine	gara miljonā daļa	genitive	{0} miljono daļu	10 miljono daļu brauciens	{0} miljonās daļas	21 miljonās daļas brauciens	{0} miljono daļu	3 miljono daļu brauciens
portion	parts per million	feminine	gara miljonā daļa	locative	{0} miljono daļu	izdarīts 10 miljono daļu	{0} miljonajā daļā	izdarīts 21 miljonajā daļā	{0} miljonajās daļās	izdarīts 3 miljonajās daļās
portion	parts per million	feminine	gara miljonā daļa	dative	{0} miljono daļu	pietiks 10 miljono daļu	{0} miljonajai daļai	pietiks 21 miljonajai daļai	{0} miljonajām daļām	pietiks 3 miljonajām daļām
portion	permyriad	feminine	gara promiriāde	nominative	{0}‱	pagājusi 10‱	{0} promiriāde	pagājusi 21 promiriāde	{0} promiriādes	pagājusi 3 promiriādes
portion	permyriad	feminine	gara promiriāde	accusative	{0}‱	palikt 10‱	{0} promiriādi	palikt 21 promiriādi	{0} promiriāžu	palikt 3 promiriāžu
portion	permyriad	feminine	gara promiriāde	genitive	{0}‱	10‱ brauciens	{0} promiriādes	21 promiriādes brauciens	{0} promiriāžu	3 promiriāžu brauciens
portion	permyriad	feminine	gara promiriāde	locative	{0}‱	izdarīts 10‱	{0} promiriādē	izdarīts 21 promiriādē	{0} promiriādēs	izdarīts 3 promiriādēs
portion	permyriad	feminine	gara promiriāde	dative	{0}‱	pietiks 10‱	{0} promiriādei	pietiks 21 promiriādei	{0} promiriādēm	pietiks 3 promiriādēm
portion	permille	feminine	gara promile	nominative	{0} promiļu	pagājusi 10 promiļu	{0} promile	pagājusi 21 promile	{0} promiles	pagājusi 3 promiles
portion	permille	feminine	gara promile	accusative	{0} promiļu	palikt 10 promiļu	{0} promili	palikt 21 promili	{0} promiļu	palikt 3 promiļu
portion	permille	feminine	gara promile	genitive	{0} promiļu	10 promiļu brauciens	{0} promiles	21 promiles brauciens	{0} promiļu	3 promiļu brauciens
portion	permille	feminine	gara promile	locative	{0} promiļu	izdarīts 10 promiļu	{0} promilē	izdarīts 21 promilē	{0} promilēs	izdarīts 3 promilēs
portion	permille	feminine	gara promile	dative	{0} promiļu	pietiks 10 promiļu	{0} promilei	pietiks 21 promilei	{0} promilēm	pietiks 3 promilēm
portion	percent	masculine	viens procents	nominative	{0} procentu	pagājusi 10 procentu	{0} procents	pagājusi 21 procents	{0} procenti	pagājusi 3 procenti
portion	percent	masculine	viens procents	accusative	{0} procentu	palikt 10 procentu	{0} procentu	palikt 21 procentu	{0} procentus	palikt 3 procentus
portion	percent	masculine	viens procents	genitive	{0} procentu	10 procentu brauciens	{0} procenta	21 procenta brauciens	{0} procentu	3 procentu brauciens
portion	percent	masculine	viens procents	locative	{0} procentu	izdarīts 10 procentu	{0} procentā	izdarīts 21 procentā	{0} procentos	izdarīts 3 procentos
portion	percent	masculine	viens procents	dative	{0} procentu	pietiks 10 procentu	{0} procentam	pietiks 21 procentam	{0} procentiem	pietiks 3 procentiem
portion	karat • ( = 4.1˙6%)	masculine	viens karāts	nominative	{0} karātu	pagājusi 10 karātu	{0} karāts	pagājusi 21 karāts	{0} karāti	pagājusi 3 karāti
portion	karat • ( = 4.1˙6%)	masculine	viens karāts	accusative	{0} karātu	palikt 10 karātu	{0} karātu	palikt 21 karātu	{0} karātus	palikt 3 karātus
portion	karat • ( = 4.1˙6%)	masculine	viens karāts	genitive	{0} karātu	10 karātu brauciens	{0} karāta	21 karāta brauciens	{0} karātu	3 karātu brauciens
portion	karat • ( = 4.1˙6%)	masculine	viens karāts	locative	{0} karātu	izdarīts 10 karātu	{0} karātā	izdarīts 21 karātā	{0} karātos	izdarīts 3 karātos
portion	karat • ( = 4.1˙6%)	masculine	viens karāts	dative	{0} karātu	pietiks 10 karātu	{0} karātam	pietiks 21 karātam	{0} karātiem	pietiks 3 karātiem
power	milliwatts	masculine	viens milivats	nominative	{0} milivatu	pagājusi 10 milivatu	{0} milivats	pagājusi 21 milivats	{0} milivati	pagājusi 3 milivati
power	milliwatts	masculine	viens milivats	accusative	{0} milivatu	palikt 10 milivatu	{0} milivatu	palikt 21 milivatu	{0} milivatus	palikt 3 milivatus
power	milliwatts	masculine	viens milivats	genitive	{0} milivatu	10 milivatu brauciens	{0} milivata	21 milivata brauciens	{0} milivatu	3 milivatu brauciens
power	milliwatts	masculine	viens milivats	locative	{0} milivatu	izdarīts 10 milivatu	{0} milivatā	izdarīts 21 milivatā	{0} milivatos	izdarīts 3 milivatos
power	milliwatts	masculine	viens milivats	dative	{0} milivatu	pietiks 10 milivatu	{0} milivatam	pietiks 21 milivatam	{0} milivatiem	pietiks 3 milivatiem
power	watts	masculine	viens vats	nominative	{0} vatu	pagājusi 10 vatu	{0} vats	pagājusi 21 vats	{0} vati	pagājusi 3 vati
power	watts	masculine	viens vats	accusative	{0} vatu	palikt 10 vatu	{0} vatu	palikt 21 vatu	{0} vatus	palikt 3 vatus
power	watts	masculine	viens vats	genitive	{0} vatu	10 vatu brauciens	{0} vata	21 vata brauciens	{0} vatu	3 vatu brauciens
power	watts	masculine	viens vats	locative	{0} vatu	izdarīts 10 vatu	{0} vatā	izdarīts 21 vatā	{0} vatos	izdarīts 3 vatos
power	watts	masculine	viens vats	dative	{0} vatu	pietiks 10 vatu	{0} vatam	pietiks 21 vatam	{0} vatiem	pietiks 3 vatiem
power	kilowatts	masculine	viens kilovats	nominative	{0} kilovatu	pagājusi 10 kilovatu	{0} kilovats	pagājusi 21 kilovats	{0} kilovati	pagājusi 3 kilovati
power	kilowatts	masculine	viens kilovats	accusative	{0} kilovatu	palikt 10 kilovatu	{0} kilovatu	palikt 21 kilovatu	{0} kilovatus	palikt 3 kilovatus
power	kilowatts	masculine	viens kilovats	genitive	{0} kilovatu	10 kilovatu brauciens	{0} kilovata	21 kilovata brauciens	{0} kilovatu	3 kilovatu brauciens
power	kilowatts	masculine	viens kilovats	locative	{0} kilovatu	izdarīts 10 kilovatu	{0} kilovatā	izdarīts 21 kilovatā	{0} kilovatos	izdarīts 3 kilovatos
power	kilowatts	masculine	viens kilovats	dative	{0} kilovatu	pietiks 10 kilovatu	{0} kilovatam	pietiks 21 kilovatam	{0} kilovatiem	pietiks 3 kilovatiem
power	megawatts	masculine	viens megavats	nominative	{0} megavatu	pagājusi 10 megavatu	{0} megavats	pagājusi 21 megavats	{0} megavati	pagājusi 3 megavati
power	megawatts	masculine	viens megavats	accusative	{0} megavatu	palikt 10 megavatu	{0} megavatu	palikt 21 megavatu	{0} megavatus	palikt 3 megavatus
power	megawatts	masculine	viens megavats	genitive	{0} megavatu	10 megavatu brauciens	{0} megavata	21 megavata brauciens	{0} megavatu	3 megavatu brauciens
power	megawatts	masculine	viens megavats	locative	{0} megavatu	izdarīts 10 megavatu	{0} megavatā	izdarīts 21 megavatā	{0} megavatos	izdarīts 3 megavatos
power	megawatts	masculine	viens megavats	dative	{0} megavatu	pietiks 10 megavatu	{0} megavatam	pietiks 21 megavatam	{0} megavatiem	pietiks 3 megavatiem
power	gigawatts	masculine	viens gigavats	nominative	{0} gigavatu	pagājusi 10 gigavatu	{0} gigavats	pagājusi 21 gigavats	{0} gigavati	pagājusi 3 gigavati
power	gigawatts	masculine	viens gigavats	accusative	{0} gigavatu	palikt 10 gigavatu	{0} gigavatu	palikt 21 gigavatu	{0} gigavatus	palikt 3 gigavatus
power	gigawatts	masculine	viens gigavats	genitive	{0} gigavatu	10 gigavatu brauciens	{0} gigavata	21 gigavata brauciens	{0} gigavatu	3 gigavatu brauciens
