# Grammatical Features
#Locale	ID	Feature	Usage	Values
Croatian	hr	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative, instrumental
Croatian	hr	grammaticalCase	units	nominative, accusative, genitive, instrumental
Croatian	hr	grammaticalGender	general	animate, inanimate, feminine, neuter
Croatian	hr	grammaticalGender	units	inanimate, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} sat	<div class='cldr_example'><span class='cldr_substituted'>1</span> sat</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> sat</div>
Plural	few	{0} sata	<div class='cldr_example'><span class='cldr_substituted'>2</span> sata</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> sata</div>
Plural	other	{0} sati	<div class='cldr_example'><span class='cldr_substituted'>5</span> sati</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> sati</div>
Case (for measurement units)	nominative	{0} je...	<div class='cldr_example'><span class='cldr_substituted'>2 kvadratna metra</span> je...</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 kvadratnog metra</span> je...</div>
Case (for measurement units)	accusative	Izmjerio je {0}	<div class='cldr_example'>Izmjerio je <span class='cldr_substituted'>2 kvadratna metra</span></div><div class='cldr_example'>❌  Izmjerio je <span class='cldr_substituted'>1 kvadratnog metra</span></div>
Case (for measurement units)	genitive	Mjerenje {0}	<div class='cldr_example'>Mjerenje <span class='cldr_substituted'>1 kvadratnog metra</span></div><div class='cldr_example'>❌  Mjerenje <span class='cldr_substituted'>2 kvadratna metra</span></div>
Case (for measurement units)	instrumental	Razgovara s {0}	<div class='cldr_example'>Razgovara s <span class='cldr_substituted'>1 kvadratnim metrom</span></div><div class='cldr_example'>❌  Razgovara s <span class='cldr_substituted'>2 kvadratna metra</span></div>
Gender (for measurement units)	inanimate	Ovaj {0}...	<div class='cldr_example'>Ovaj <span class='cldr_substituted'>dan</span>...</div><div class='cldr_example'>❌  Ovaj <span class='cldr_substituted'>minuta</span>...</div>
Gender (for measurement units)	feminine	Ova {0}...	<div class='cldr_example'>Ova <span class='cldr_substituted'>minuta</span>...</div><div class='cldr_example'>❌  Ova <span class='cldr_substituted'>dan</span>...</div>
Gender (for measurement units)	neuter	Ovo {0}...	<div class='cldr_example'>Ovo <span class='cldr_substituted'>stoljeće</span>...</div><div class='cldr_example'>❌  Ovo <span class='cldr_substituted'>minuta</span>...</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 21.0	Pattern for few	Case MP + pattern with 3.0	Pattern for other	Case MP + pattern with 5.0
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	inanimate	Ovaj kilovatsat na 100 kilometara...	genitive	{0} kilovatsata na 100 kilometara	Mjerenje 21 kilovatsata na 100 kilometara	{0} kilovatsata na 100 kilometara	Mjerenje 3 kilovatsata na 100 kilometara	{0} kilovatsati na 100 kilometara	Mjerenje 5 kilovatsati na 100 kilometara
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	inanimate	Ovaj kilovatsat na 100 kilometara...	instrumental	{0} kilovatsatom na 100 kilometara	Razgovara s 21 kilovatsatom na 100 kilometara	{0} kilovatsata na 100 kilometara	Razgovara s 3 kilovatsata na 100 kilometara	{0} kilovatsati na 100 kilometara	Razgovara s 5 kilovatsati na 100 kilometara
frequency	hertz	inanimate	Ovaj herc...	nominative	{0} herc	21 herc je...	{0} herca	3 herca je...	{0} herca	5 herca je...
frequency	hertz	inanimate	Ovaj herc...	accusative	{0} herc	Izmjerio je 21 herc	{0} herca	Izmjerio je 3 herca	{0} herca	Izmjerio je 5 herca
frequency	hertz	inanimate	Ovaj herc...	genitive	{0} herca	Mjerenje 21 herca	{0} herca	Mjerenje 3 herca	{0} herca	Mjerenje 5 herca
frequency	hertz	inanimate	Ovaj herc...	instrumental	{0} hercom	Razgovara s 21 hercom	{0} herca	Razgovara s 3 herca	{0} herca	Razgovara s 5 herca
frequency	kilohertz	inanimate	Ovaj kiloherc...	nominative	{0} kiloherc	21 kiloherc je...	{0} kiloherca	3 kiloherca je...	{0} kiloherca	5 kiloherca je...
frequency	kilohertz	inanimate	Ovaj kiloherc...	accusative	{0} kiloherc	Izmjerio je 21 kiloherc	{0} kiloherca	Izmjerio je 3 kiloherca	{0} kiloherca	Izmjerio je 5 kiloherca
frequency	kilohertz	inanimate	Ovaj kiloherc...	genitive	{0} kiloherca	Mjerenje 21 kiloherca	{0} kiloherca	Mjerenje 3 kiloherca	{0} kiloherca	Mjerenje 5 kiloherca
frequency	kilohertz	inanimate	Ovaj kiloherc...	instrumental	{0} kilohercom	Razgovara s 21 kilohercom	{0} kiloherca	Razgovara s 3 kiloherca	{0} kiloherca	Razgovara s 5 kiloherca
frequency	megahertz	inanimate	Ovaj megaherc...	nominative	{0} megaherc	21 megaherc je...	{0} megaherca	3 megaherca je...	{0} megaherca	5 megaherca je...
frequency	megahertz	inanimate	Ovaj megaherc...	accusative	{0} megaherc	Izmjerio je 21 megaherc	{0} megaherca	Izmjerio je 3 megaherca	{0} megaherca	Izmjerio je 5 megaherca
frequency	megahertz	inanimate	Ovaj megaherc...	genitive	{0} megaherca	Mjerenje 21 megaherca	{0} megaherca	Mjerenje 3 megaherca	{0} megaherca	Mjerenje 5 megaherca
frequency	megahertz	inanimate	Ovaj megaherc...	instrumental	{0} megahercom	Razgovara s 21 megahercom	{0} megaherca	Razgovara s 3 megaherca	{0} megaherca	Razgovara s 5 megaherca
frequency	gigahertz	inanimate	Ovaj gigaherc...	nominative	{0} gigaherc	21 gigaherc je...	{0} gigaherca	3 gigaherca je...	{0} gigaherca	5 gigaherca je...
frequency	gigahertz	inanimate	Ovaj gigaherc...	accusative	{0} gigaherc	Izmjerio je 21 gigaherc	{0} gigaherca	Izmjerio je 3 gigaherca	{0} gigaherca	Izmjerio je 5 gigaherca
frequency	gigahertz	inanimate	Ovaj gigaherc...	genitive	{0} gigaherca	Mjerenje 21 gigaherca	{0} gigaherca	Mjerenje 3 gigaherca	{0} gigaherca	Mjerenje 5 gigaherca
frequency	gigahertz	inanimate	Ovaj gigaherc...	instrumental	{0} gigahercom	Razgovara s 21 gigahercom	{0} gigaherca	Razgovara s 3 gigaherca	{0} gigaherca	Razgovara s 5 gigaherca
graphics	pixel • ( = 1 dot)	inanimate	Ovaj piksel...	nominative	{0} piksel	21 piksel je...	{0} piksela	3 piksela je...	{0} piksela	5 piksela je...
graphics	pixel • ( = 1 dot)	inanimate	Ovaj piksel...	accusative	{0} piksel	Izmjerio je 21 piksel	{0} piksela	Izmjerio je 3 piksela	{0} piksela	Izmjerio je 5 piksela
graphics	pixel • ( = 1 dot)	inanimate	Ovaj piksel...	genitive	{0} piksela	Mjerenje 21 piksela	{0} piksela	Mjerenje 3 piksela	{0} piksela	Mjerenje 5 piksela
graphics	pixel • ( = 1 dot)	inanimate	Ovaj piksel...	instrumental	{0} pikselom	Razgovara s 21 pikselom	{0} piksela	Razgovara s 3 piksela	{0} piksela	Razgovara s 5 piksela
graphics	megapixels	inanimate	Ovaj megapiksel...	nominative	{0} megapiksel	21 megapiksel je...	{0} megapiksela	3 megapiksela je...	{0} megapiksela	5 megapiksela je...
graphics	megapixels	inanimate	Ovaj megapiksel...	accusative	{0} megapiksel	Izmjerio je 21 megapiksel	{0} megapiksela	Izmjerio je 3 megapiksela	{0} megapiksela	Izmjerio je 5 megapiksela
graphics	megapixels	inanimate	Ovaj megapiksel...	genitive	{0} megapiksela	Mjerenje 21 megapiksela	{0} megapiksela	Mjerenje 3 megapiksela	{0} megapiksela	Mjerenje 5 megapiksela
graphics	megapixels	inanimate	Ovaj megapiksel...	instrumental	{0} megapikselom	Razgovara s 21 megapikselom	{0} megapiksela	Razgovara s 3 megapiksela	{0} megapiksela	Razgovara s 5 megapiksela
illuminance	lux	inanimate	Ovaj luks...	nominative	{0} luks	21 luks je...	{0} luksa	3 luksa je...	{0} luksa	5 luksa je...
illuminance	lux	inanimate	Ovaj luks...	accusative	{0} luks	Izmjerio je 21 luks	{0} luksa	Izmjerio je 3 luksa	{0} luksa	Izmjerio je 5 luksa
illuminance	lux	inanimate	Ovaj luks...	genitive	{0} luksa	Mjerenje 21 luksa	{0} luksa	Mjerenje 3 luksa	{0} luksa	Mjerenje 5 luksa
illuminance	lux	inanimate	Ovaj luks...	instrumental	{0} luksom	Razgovara s 21 luksom	{0} luksa	Razgovara s 3 luksa	{0} luksa	Razgovara s 5 luksa
length	picometers	inanimate	Ovaj pikometar...	nominative	{0} pikometar	21 pikometar je...	{0} pikometra	3 pikometra je...	{0} pikometara	5 pikometara je...
length	picometers	inanimate	Ovaj pikometar...	accusative	{0} pikometar	Izmjerio je 21 pikometar	{0} pikometra	Izmjerio je 3 pikometra	{0} pikometara	Izmjerio je 5 pikometara
length	picometers	inanimate	Ovaj pikometar...	genitive	{0} pikometra	Mjerenje 21 pikometra	{0} pikometra	Mjerenje 3 pikometra	{0} pikometara	Mjerenje 5 pikometara
length	picometers	inanimate	Ovaj pikometar...	instrumental	{0} pikometrom	Razgovara s 21 pikometrom	{0} pikometra	Razgovara s 3 pikometra	{0} pikometara	Razgovara s 5 pikometara
length	nanometers	inanimate	Ovaj nanometar...	nominative	{0} nanometar	21 nanometar je...	{0} nanometra	3 nanometra je...	{0} nanometara	5 nanometara je...
length	nanometers	inanimate	Ovaj nanometar...	accusative	{0} nanometar	Izmjerio je 21 nanometar	{0} nanometra	Izmjerio je 3 nanometra	{0} nanometara	Izmjerio je 5 nanometara
length	nanometers	inanimate	Ovaj nanometar...	genitive	{0} nanometra	Mjerenje 21 nanometra	{0} nanometra	Mjerenje 3 nanometra	{0} nanometara	Mjerenje 5 nanometara
length	nanometers	inanimate	Ovaj nanometar...	instrumental	{0} nanometrom	Razgovara s 21 nanometrom	{0} nanometra	Razgovara s 3 nanometra	{0} nanometara	Razgovara s 5 nanometara
length	micrometers	inanimate	Ovaj mikrometar...	nominative	{0} mikrometar	21 mikrometar je...	{0} mikrometra	3 mikrometra je...	{0} mikrometara	5 mikrometara je...
length	micrometers	inanimate	Ovaj mikrometar...	accusative	{0} mikrometar	Izmjerio je 21 mikrometar	{0} mikrometra	Izmjerio je 3 mikrometra	{0} mikrometara	Izmjerio je 5 mikrometara
length	micrometers	inanimate	Ovaj mikrometar...	genitive	{0} mikrometra	Mjerenje 21 mikrometra	{0} mikrometra	Mjerenje 3 mikrometra	{0} mikrometara	Mjerenje 5 mikrometara
length	micrometers	inanimate	Ovaj mikrometar...	instrumental	{0} mikrometrom	Razgovara s 21 mikrometrom	{0} mikrometra	Razgovara s 3 mikrometra	{0} mikrometara	Razgovara s 5 mikrometara
length	point • ( = 352.˙7 μm)	n/a	n/a	nominative	{0} tipografska točka	21 tipografska točka je...	{0} tipografske točke	3 tipografske točke je...	{0} tipografskih točaka	5 tipografskih točaka je...
length	point • ( = 352.˙7 μm)	n/a	n/a	accusative	{0} tipografska točka	Izmjerio je 21 tipografska točka	{0} tipografske točke	Izmjerio je 3 tipografske točke	{0} tipografskih točaka	Izmjerio je 5 tipografskih točaka
length	point • ( = 352.˙7 μm)	n/a	n/a	genitive	{0} tipografska točka	Mjerenje 21 tipografska točka	{0} tipografske točke	Mjerenje 3 tipografske točke	{0} tipografskih točaka	Mjerenje 5 tipografskih točaka
length	point • ( = 352.˙7 μm)	n/a	n/a	instrumental	{0} tipografska točka	Razgovara s 21 tipografska točka	{0} tipografske točke	Razgovara s 3 tipografske točke	{0} tipografskih točaka	Razgovara s 5 tipografskih točaka
length	millimeters	inanimate	Ovaj milimetar...	nominative	{0} milimetar	21 milimetar je...	{0} milimetra	3 milimetra je...	{0} milimetara	5 milimetara je...
length	millimeters	inanimate	Ovaj milimetar...	accusative	{0} milimetar	Izmjerio je 21 milimetar	{0} milimetra	Izmjerio je 3 milimetra	{0} milimetara	Izmjerio je 5 milimetara
length	millimeters	inanimate	Ovaj milimetar...	genitive	{0} milimetra	Mjerenje 21 milimetra	{0} milimetra	Mjerenje 3 milimetra	{0} milimetara	Mjerenje 5 milimetara
length	millimeters	inanimate	Ovaj milimetar...	instrumental	{0} milimetrom	Razgovara s 21 milimetrom	{0} milimetra	Razgovara s 3 milimetra	{0} milimetara	Razgovara s 5 milimetara
length	centimeters	inanimate	Ovaj centimetar...	nominative	{0} centimetar	21 centimetar je...	{0} centimetra	3 centimetra je...	{0} centimetara	5 centimetara je...
length	centimeters	inanimate	Ovaj centimetar...	accusative	{0} centimetar	Izmjerio je 21 centimetar	{0} centimetra	Izmjerio je 3 centimetra	{0} centimetara	Izmjerio je 5 centimetara
length	centimeters	inanimate	Ovaj centimetar...	genitive	{0} centimetra	Mjerenje 21 centimetra	{0} centimetra	Mjerenje 3 centimetra	{0} centimetara	Mjerenje 5 centimetara
length	centimeters	inanimate	Ovaj centimetar...	instrumental	{0} centimetrom	Razgovara s 21 centimetrom	{0} centimetra	Razgovara s 3 centimetra	{0} centimetara	Razgovara s 5 centimetara
length	inch • ( = 2.54 cm)	n/a	n/a	nominative	{0} inč	21 inč je...	{0} inča	3 inča je...	{0} inča	5 inča je...
length	inch • ( = 2.54 cm)	n/a	n/a	accusative	{0} inč	Izmjerio je 21 inč	{0} inča	Izmjerio je 3 inča	{0} inča	Izmjerio je 5 inča
length	inch • ( = 2.54 cm)	n/a	n/a	genitive	{0} inč	Mjerenje 21 inč	{0} inča	Mjerenje 3 inča	{0} inča	Mjerenje 5 inča
length	inch • ( = 2.54 cm)	n/a	n/a	instrumental	{0} inč	Razgovara s 21 inč	{0} inča	Razgovara s 3 inča	{0} inča	Razgovara s 5 inča
length	decimeters	inanimate	Ovaj decimetar...	nominative	{0} decimetar	21 decimetar je...	{0} decimetra	3 decimetra je...	{0} decimetara	5 decimetara je...
length	decimeters	inanimate	Ovaj decimetar...	accusative	{0} decimetar	Izmjerio je 21 decimetar	{0} decimetra	Izmjerio je 3 decimetra	{0} decimetara	Izmjerio je 5 decimetara
length	decimeters	inanimate	Ovaj decimetar...	genitive	{0} decimetra	Mjerenje 21 decimetra	{0} decimetra	Mjerenje 3 decimetra	{0} decimetara	Mjerenje 5 decimetara
length	decimeters	inanimate	Ovaj decimetar...	instrumental	{0} decimetrom	Razgovara s 21 decimetrom	{0} decimetra	Razgovara s 3 decimetra	{0} decimetara	Razgovara s 5 decimetara
length	foot • ( = 3.048 dm)	n/a	n/a	nominative	{0} stopa	21 stopa je...	{0} stope	3 stope je...	{0} stopa	5 stopa je...
length	foot • ( = 3.048 dm)	n/a	n/a	accusative	{0} stopa	Izmjerio je 21 stopa	{0} stope	Izmjerio je 3 stope	{0} stopa	Izmjerio je 5 stopa
length	foot • ( = 3.048 dm)	n/a	n/a	genitive	{0} stopa	Mjerenje 21 stopa	{0} stope	Mjerenje 3 stope	{0} stopa	Mjerenje 5 stopa
length	foot • ( = 3.048 dm)	n/a	n/a	instrumental	{0} stopa	Razgovara s 21 stopa	{0} stope	Razgovara s 3 stope	{0} stopa	Razgovara s 5 stopa
length	yard • ( = 0.9144 m)	n/a	n/a	nominative	{0} jard	21 jard je...	{0} jarda	3 jarda je...	{0} jardi	5 jardi je...
length	yard • ( = 0.9144 m)	n/a	n/a	accusative	{0} jard	Izmjerio je 21 jard	{0} jarda	Izmjerio je 3 jarda	{0} jardi	Izmjerio je 5 jardi
length	yard • ( = 0.9144 m)	n/a	n/a	genitive	{0} jard	Mjerenje 21 jard	{0} jarda	Mjerenje 3 jarda	{0} jardi	Mjerenje 5 jardi
length	yard • ( = 0.9144 m)	n/a	n/a	instrumental	{0} jard	Razgovara s 21 jard	{0} jarda	Razgovara s 3 jarda	{0} jardi	Razgovara s 5 jardi
length	meters	inanimate	Ovaj metar...	nominative	{0} metar	21 metar je...	{0} metra	3 metra je...	{0} metara	5 metara je...
length	meters	inanimate	Ovaj metar...	accusative	{0} metar	Izmjerio je 21 metar	{0} metra	Izmjerio je 3 metra	{0} metara	Izmjerio je 5 metara
length	meters	inanimate	Ovaj metar...	genitive	{0} metra	Mjerenje 21 metra	{0} metra	Mjerenje 3 metra	{0} metara	Mjerenje 5 metara
length	meters	inanimate	Ovaj metar...	instrumental	{0} metrom	Razgovara s 21 metrom	{0} metra	Razgovara s 3 metra	{0} metara	Razgovara s 5 metara
length	fathom • ( = 1.8288 m)	n/a	n/a	nominative	{0} hvat	21 hvat je...	{0} hvata	3 hvata je...	{0} hvati	5 hvati je...
length	fathom • ( = 1.8288 m)	n/a	n/a	accusative	{0} hvat	Izmjerio je 21 hvat	{0} hvata	Izmjerio je 3 hvata	{0} hvati	Izmjerio je 5 hvati
length	fathom • ( = 1.8288 m)	n/a	n/a	genitive	{0} hvat	Mjerenje 21 hvat	{0} hvata	Mjerenje 3 hvata	{0} hvati	Mjerenje 5 hvati
length	fathom • ( = 1.8288 m)	n/a	n/a	instrumental	{0} hvat	Razgovara s 21 hvat	{0} hvata	Razgovara s 3 hvata	{0} hvati	Razgovara s 5 hvati
length	furlong • ( = 201.168 m)	n/a	n/a	nominative	{0} furlong	21 furlong je...	{0} furlonga	3 furlonga je...	{0} furlonga	5 furlonga je...
length	furlong • ( = 201.168 m)	n/a	n/a	accusative	{0} furlong	Izmjerio je 21 furlong	{0} furlonga	Izmjerio je 3 furlonga	{0} furlonga	Izmjerio je 5 furlonga
length	furlong • ( = 201.168 m)	n/a	n/a	genitive	{0} furlong	Mjerenje 21 furlong	{0} furlonga	Mjerenje 3 furlonga	{0} furlonga	Mjerenje 5 furlonga
length	furlong • ( = 201.168 m)	n/a	n/a	instrumental	{0} furlong	Razgovara s 21 furlong	{0} furlonga	Razgovara s 3 furlonga	{0} furlonga	Razgovara s 5 furlonga
length	kilometers	inanimate	Ovaj kilometar...	nominative	{0} kilometar	21 kilometar je...	{0} kilometra	3 kilometra je...	{0} kilometara	5 kilometara je...
length	kilometers	inanimate	Ovaj kilometar...	accusative	{0} kilometar	Izmjerio je 21 kilometar	{0} kilometra	Izmjerio je 3 kilometra	{0} kilometara	Izmjerio je 5 kilometara
length	kilometers	inanimate	Ovaj kilometar...	genitive	{0} kilometra	Mjerenje 21 kilometra	{0} kilometra	Mjerenje 3 kilometra	{0} kilometara	Mjerenje 5 kilometara
length	kilometers	inanimate	Ovaj kilometar...	instrumental	{0} kilometrom	Razgovara s 21 kilometrom	{0} kilometra	Razgovara s 3 kilometra	{0} kilometara	Razgovara s 5 kilometara
length	mile • ( = 1.609344 km)	n/a	n/a	nominative	{0} milja	21 milja je...	{0} milje	3 milje je...	{0} milja	5 milja je...
length	mile • ( = 1.609344 km)	n/a	n/a	accusative	{0} milja	Izmjerio je 21 milja	{0} milje	Izmjerio je 3 milje	{0} milja	Izmjerio je 5 milja
length	mile • ( = 1.609344 km)	n/a	n/a	genitive	{0} milja	Mjerenje 21 milja	{0} milje	Mjerenje 3 milje	{0} milja	Mjerenje 5 milja
length	mile • ( = 1.609344 km)	n/a	n/a	instrumental	{0} milja	Razgovara s 21 milja	{0} milje	Razgovara s 3 milje	{0} milja	Razgovara s 5 milja
length	mile-scandinavian • ( = 10 km)	feminine	Ova skandinavska milja...	nominative	{0} skandinavska milja	21 skandinavska milja je...	{0} skandinavske milje	3 skandinavske milje je...	{0} skandinavskih milja	5 skandinavskih milja je...
length	mile-scandinavian • ( = 10 km)	feminine	Ova skandinavska milja...	accusative	{0} skandinavsku milju	Izmjerio je 21 skandinavsku milju	{0} skandinavske milje	Izmjerio je 3 skandinavske milje	{0} skandinavskih milja	Izmjerio je 5 skandinavskih milja
length	mile-scandinavian • ( = 10 km)	feminine	Ova skandinavska milja...	genitive	{0} skandinavske milje	Mjerenje 21 skandinavske milje	{0} skandinavske milje	Mjerenje 3 skandinavske milje	{0} skandinavskih milja	Mjerenje 5 skandinavskih milja
length	mile-scandinavian • ( = 10 km)	feminine	Ova skandinavska milja...	instrumental	{0} skandinavskom miljom	Razgovara s 21 skandinavskom miljom	{0} skandinavske milje	Razgovara s 3 skandinavske milje	{0} skandinavskih milja	Razgovara s 5 skandinavskih milja
length	earth-radius • ( = 6378.1 km)	n/a	n/a	nominative	{0} srednji polumjer Zemlje	21 srednji polumjer Zemlje je...	{0} srednja polumjera Zemlje	3 srednja polumjera Zemlje je...	{0} srednjih polumjera Zemlje	5 srednjih polumjera Zemlje je...
length	earth-radius • ( = 6378.1 km)	n/a	n/a	accusative	{0} srednji polumjer Zemlje	Izmjerio je 21 srednji polumjer Zemlje	{0} srednja polumjera Zemlje	Izmjerio je 3 srednja polumjera Zemlje	{0} srednjih polumjera Zemlje	Izmjerio je 5 srednjih polumjera Zemlje
length	earth-radius • ( = 6378.1 km)	n/a	n/a	genitive	{0} srednji polumjer Zemlje	Mjerenje 21 srednji polumjer Zemlje	{0} srednja polumjera Zemlje	Mjerenje 3 srednja polumjera Zemlje	{0} srednjih polumjera Zemlje	Mjerenje 5 srednjih polumjera Zemlje
length	earth-radius • ( = 6378.1 km)	n/a	n/a	instrumental	{0} srednji polumjer Zemlje	Razgovara s 21 srednji polumjer Zemlje	{0} srednja polumjera Zemlje	Razgovara s 3 srednja polumjera Zemlje	{0} srednjih polumjera Zemlje	Razgovara s 5 srednjih polumjera Zemlje
length	solar-radius • ( = 695700 km)	n/a	n/a	nominative	{0} Sunčev polumjer	21 Sunčev polumjer je...	{0} Sunčeva polumjera	3 Sunčeva polumjera je...	{0} Sunčevih polumjera	5 Sunčevih polumjera je...
length	solar-radius • ( = 695700 km)	n/a	n/a	accusative	{0} Sunčev polumjer	Izmjerio je 21 Sunčev polumjer	{0} Sunčeva polumjera	Izmjerio je 3 Sunčeva polumjera	{0} Sunčevih polumjera	Izmjerio je 5 Sunčevih polumjera
length	solar-radius • ( = 695700 km)	n/a	n/a	genitive	{0} Sunčev polumjer	Mjerenje 21 Sunčev polumjer	{0} Sunčeva polumjera	Mjerenje 3 Sunčeva polumjera	{0} Sunčevih polumjera	Mjerenje 5 Sunčevih polumjera
length	solar-radius • ( = 695700 km)	n/a	n/a	instrumental	{0} Sunčev polumjer	Razgovara s 21 Sunčev polumjer	{0} Sunčeva polumjera	Razgovara s 3 Sunčeva polumjera	{0} Sunčevih polumjera	Razgovara s 5 Sunčevih polumjera
length	light-year • ( = 9460730472580.8 km)	n/a	n/a	nominative	{0} svjetlosna godina	21 svjetlosna godina je...	{0} svjetlosne godine	3 svjetlosne godine je...	{0} svjetlosnih godina	5 svjetlosnih godina je...
length	light-year • ( = 9460730472580.8 km)	n/a	n/a	accusative	{0} svjetlosna godina	Izmjerio je 21 svjetlosna godina	{0} svjetlosne godine	Izmjerio je 3 svjetlosne godine	{0} svjetlosnih godina	Izmjerio je 5 svjetlosnih godina
length	light-year • ( = 9460730472580.8 km)	n/a	n/a	genitive	{0} svjetlosna godina	Mjerenje 21 svjetlosna godina	{0} svjetlosne godine	Mjerenje 3 svjetlosne godine	{0} svjetlosnih godina	Mjerenje 5 svjetlosnih godina
length	light-year • ( = 9460730472580.8 km)	n/a	n/a	instrumental	{0} svjetlosna godina	Razgovara s 21 svjetlosna godina	{0} svjetlosne godine	Razgovara s 3 svjetlosne godine	{0} svjetlosnih godina	Razgovara s 5 svjetlosnih godina
length	parsec • ( = ~3.085677581491367E13 km)	n/a	n/a	nominative	{0} parsek	21 parsek je...	{0} parseka	3 parseka je...	{0} parseka	5 parseka je...
length	parsec • ( = ~3.085677581491367E13 km)	n/a	n/a	accusative	{0} parsek	Izmjerio je 21 parsek	{0} parseka	Izmjerio je 3 parseka	{0} parseka	Izmjerio je 5 parseka
length	parsec • ( = ~3.085677581491367E13 km)	n/a	n/a	genitive	{0} parsek	Mjerenje 21 parsek	{0} parseka	Mjerenje 3 parseka	{0} parseka	Mjerenje 5 parseka
length	parsec • ( = ~3.085677581491367E13 km)	n/a	n/a	instrumental	{0} parsek	Razgovara s 21 parsek	{0} parseka	Razgovara s 3 parseka	{0} parseka	Razgovara s 5 parseka
luminous-flux	lumen	inanimate	Ovaj lumen...	nominative	{0} lumen	21 lumen je...	{0} lumena	3 lumena je...	{0} lumena	5 lumena je...
luminous-flux	lumen	inanimate	Ovaj lumen...	accusative	{0} lumen	Izmjerio je 21 lumen	{0} lumena	Izmjerio je 3 lumena	{0} lumena	Izmjerio je 5 lumena
luminous-flux	lumen	inanimate	Ovaj lumen...	genitive	{0} lumena	Mjerenje 21 lumena	{0} lumena	Mjerenje 3 lumena	{0} lumena	Mjerenje 5 lumena
luminous-flux	lumen	inanimate	Ovaj lumen...	instrumental	{0} lumenom	Razgovara s 21 lumenom	{0} lumena	Razgovara s 3 lumena	{0} lumena	Razgovara s 5 lumena
luminous-intensity	candela	feminine	Ova kandela...	nominative	{0} kandela	21 kandela je...	{0} kandele	3 kandele je...	{0} kandela	5 kandela je...
luminous-intensity	candela	feminine	Ova kandela...	accusative	{0} kandelu	Izmjerio je 21 kandelu	{0} kandele	Izmjerio je 3 kandele	{0} kandela	Izmjerio je 5 kandela
luminous-intensity	candela	feminine	Ova kandela...	genitive	{0} kandele	Mjerenje 21 kandele	{0} kandele	Mjerenje 3 kandele	{0} kandela	Mjerenje 5 kandela
luminous-intensity	candela	feminine	Ova kandela...	instrumental	{0} kandelom	Razgovara s 21 kandelom	{0} kandele	Razgovara s 3 kandele	{0} kandela	Razgovara s 5 kandela
mass	micrograms	inanimate	Ovaj mikrogram...	nominative	{0} mikrogram	21 mikrogram je...	{0} mikrograma	3 mikrograma je...	{0} mikrograma	5 mikrograma je...
mass	micrograms	inanimate	Ovaj mikrogram...	accusative	{0} mikrogram	Izmjerio je 21 mikrogram	{0} mikrograma	Izmjerio je 3 mikrograma	{0} mikrograma	Izmjerio je 5 mikrograma
mass	micrograms	inanimate	Ovaj mikrogram...	genitive	{0} mikrograma	Mjerenje 21 mikrograma	{0} mikrograma	Mjerenje 3 mikrograma	{0} mikrograma	Mjerenje 5 mikrograma
mass	micrograms	inanimate	Ovaj mikrogram...	instrumental	{0} mikrogramom	Razgovara s 21 mikrogramom	{0} mikrograma	Razgovara s 3 mikrograma	{0} mikrograma	Razgovara s 5 mikrograma
mass	milligrams	inanimate	Ovaj miligram...	nominative	{0} miligram	21 miligram je...	{0} miligrama	3 miligrama je...	{0} miligrama	5 miligrama je...
mass	milligrams	inanimate	Ovaj miligram...	accusative	{0} miligram	Izmjerio je 21 miligram	{0} miligrama	Izmjerio je 3 miligrama	{0} miligrama	Izmjerio je 5 miligrama
mass	milligrams	inanimate	Ovaj miligram...	genitive	{0} miligrama	Mjerenje 21 miligrama	{0} miligrama	Mjerenje 3 miligrama	{0} miligrama	Mjerenje 5 miligrama
mass	milligrams	inanimate	Ovaj miligram...	instrumental	{0} miligramom	Razgovara s 21 miligramom	{0} miligrama	Razgovara s 3 miligrama	{0} miligrama	Razgovara s 5 miligrama
mass	grain • ( = 64.79891 mg)	n/a	n/a	nominative	{0} grain	21 grain je...	{0} graina	3 graina je...	{0} graina	5 graina je...
mass	grain • ( = 64.79891 mg)	n/a	n/a	accusative	{0} grain	Izmjerio je 21 grain	{0} graina	Izmjerio je 3 graina	{0} graina	Izmjerio je 5 graina
mass	grain • ( = 64.79891 mg)	n/a	n/a	genitive	{0} grain	Mjerenje 21 grain	{0} graina	Mjerenje 3 graina	{0} graina	Mjerenje 5 graina
mass	grain • ( = 64.79891 mg)	n/a	n/a	instrumental	{0} grain	Razgovara s 21 grain	{0} graina	Razgovara s 3 graina	{0} graina	Razgovara s 5 graina
mass	carat • ( = 200 mg)	inanimate	Ovaj karat...	nominative	{0} karat	21 karat je...	{0} karata	3 karata je...	{0} karata	5 karata je...
