# Grammatical Features
#Locale	ID	Feature	Usage	Values
Romanian	ro	grammaticalCase	general	nominative, genitive
Romanian	ro	grammaticalDefiniteness	general	indefinite, definite
Romanian	ro	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} zi	<div class='cldr_example'><span class='cldr_substituted'>1</span> zi</div><div class='cldr_example'>❌  <span class='cldr_substituted'>20</span> zi</div>
Plural	few	{0} zile	<div class='cldr_example'><span class='cldr_substituted'>2</span> zile</div><div class='cldr_example'>❌  <span class='cldr_substituted'>20</span> zile</div>
Plural	other	{0} de zile	<div class='cldr_example'><span class='cldr_substituted'>20</span> de zile</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> de zile</div>
Case (for measurement units)	nominative	{0} este/sunt …	<div class='cldr_example'><span class='cldr_substituted'>20 de zile</span> este/sunt …</div><div class='cldr_example'>❌  <span class='cldr_substituted'>unei zile</span> este/sunt …</div>
Case (for measurement units)	genitive	… ale (celor) {0} …	<div class='cldr_example'>… ale (celor) <span class='cldr_substituted'>unei zile</span> …</div><div class='cldr_example'>❌  … ale (celor) <span class='cldr_substituted'>20 de zile</span> …</div>
Gender (for measurement units)	masculine	Un {0} costă 5 €, doi costă 9 €.	<div class='cldr_example'>Un <span class='cldr_substituted'>an</span> costă 5 €, doi costă 9 €.</div><div class='cldr_example'>❌  Un <span class='cldr_substituted'>zi</span> costă 5 €, doi costă 9 €.</div>
Gender (for measurement units)	feminine	O {0} costă 5 €.	<div class='cldr_example'>O <span class='cldr_substituted'>zi</span> costă 5 €.</div><div class='cldr_example'>❌  O <span class='cldr_substituted'>an</span> costă 5 €.</div>
Gender (for measurement units)	neuter	Un {0} costă 5 €, două costă 9 €.	<div class='cldr_example'>Un <span class='cldr_substituted'>minut</span> costă 5 €, două costă 9 €.</div><div class='cldr_example'>❌  Un <span class='cldr_substituted'>zi</span> costă 5 €, două costă 9 €.</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for few	Case MP + pattern with 2.0	Pattern for other	Case MP + pattern with 21.0
power	solar-luminosity • ( = 382800000000000000 GW)	n/a	n/a	genitive	{0} luminozitate solară	… ale (celor) 1 luminozitate solară …	{0} luminozități solare	… ale (celor) 2 luminozități solare …	{0} de luminozități solare	… ale (celor) 21 de luminozități solare …
pressure	pascals	masculine	Un pascal costă 5 €, doi costă 9 €.	nominative	{0} pascal	1 pascal este/sunt …	{0} pascali	2 pascali este/sunt …	{0} de pascali	21 de pascali este/sunt …
pressure	pascals	masculine	Un pascal costă 5 €, doi costă 9 €.	genitive	unui pascal	… ale (celor) unui pascal …	{0} pascali	… ale (celor) 2 pascali …	{0} de pascali	… ale (celor) 21 de pascali …
pressure	hectopascal • ( = 1 mbar)	masculine	Un hectopascal costă 5 €, doi costă 9 €.	nominative	{0} hectopascal	1 hectopascal este/sunt …	{0} hectopascali	2 hectopascali este/sunt …	{0} de hectopascali	21 de hectopascali este/sunt …
pressure	hectopascal • ( = 1 mbar)	masculine	Un hectopascal costă 5 €, doi costă 9 €.	genitive	unui hectopascal	… ale (celor) unui hectopascal …	{0} hectopascali	… ale (celor) 2 hectopascali …	{0} de hectopascali	… ale (celor) 21 de hectopascali …
pressure	millibars	masculine	Un milibar costă 5 €, doi costă 9 €.	nominative	{0} milibar	1 milibar este/sunt …	{0} milibari	2 milibari este/sunt …	{0} de milibari	21 de milibari este/sunt …
pressure	millibars	masculine	Un milibar costă 5 €, doi costă 9 €.	genitive	unui milibar	… ale (celor) unui milibar …	{0} milibari	… ale (celor) 2 milibari …	{0} de milibari	… ale (celor) 21 de milibari …
pressure	kilopascals	masculine	Un kilopascal costă 5 €, doi costă 9 €.	nominative	{0} kilopascal	1 kilopascal este/sunt …	{0} kilopascali	2 kilopascali este/sunt …	{0} de kilopascali	21 de kilopascali este/sunt …
pressure	kilopascals	masculine	Un kilopascal costă 5 €, doi costă 9 €.	genitive	unui kilopascal	… ale (celor) unui kilopascal …	{0} kilopascali	… ale (celor) 2 kilopascali …	{0} de kilopascali	… ale (celor) 21 de kilopascali …
pressure	inch-ofhg • ( = 3386.388640341 kilogram-meters per square meter-square second)	n/a	n/a	nominative	{0} inch coloană de mercur	1 inch coloană de mercur este/sunt …	{0} inchi coloană de mercur	2 inchi coloană de mercur este/sunt …	{0} de inchi coloană de mercur	21 de inchi coloană de mercur este/sunt …
pressure	inch-ofhg • ( = 3386.388640341 kilogram-meters per square meter-square second)	n/a	n/a	genitive	{0} inch coloană de mercur	… ale (celor) 1 inch coloană de mercur …	{0} inchi coloană de mercur	… ale (celor) 2 inchi coloană de mercur …	{0} de inchi coloană de mercur	… ale (celor) 21 de inchi coloană de mercur …
pressure	pound-force-per-square-inch • ( = ~6894.757293168361 kilogram-meters per square meter-square second)	n/a	n/a	nominative	{0} livră pe inch pătrat	1 livră pe inch pătrat este/sunt …	{0} livre pe inch pătrat	2 livre pe inch pătrat este/sunt …	{0} de livre pe inch pătrat	21 de livre pe inch pătrat este/sunt …
pressure	pound-force-per-square-inch • ( = ~6894.757293168361 kilogram-meters per square meter-square second)	n/a	n/a	genitive	{0} livră pe inch pătrat	… ale (celor) 1 livră pe inch pătrat …	{0} livre pe inch pătrat	… ale (celor) 2 livre pe inch pătrat …	{0} de livre pe inch pătrat	… ale (celor) 21 de livre pe inch pătrat …
pressure	bars	masculine	Un bar costă 5 €, doi costă 9 €.	nominative	{0} bar	1 bar este/sunt …	{0} bari	2 bari este/sunt …	{0} de bari	21 de bari este/sunt …
pressure	bars	masculine	Un bar costă 5 €, doi costă 9 €.	genitive	unui bar	… ale (celor) unui bar …	{0} bari	… ale (celor) 2 bari …	{0} de bari	… ale (celor) 21 de bari …
pressure	atmosphere • ( = 1.01325 bar)	feminine	O atmosferă costă 5 €.	nominative	{0} atmosferă	1 atmosferă este/sunt …	{0} atmosfere	2 atmosfere este/sunt …	{0} de atmosfere	21 de atmosfere este/sunt …
pressure	atmosphere • ( = 1.01325 bar)	feminine	O atmosferă costă 5 €.	genitive	unei atmosfere	… ale (celor) unei atmosfere …	{0} atmosfere	… ale (celor) 2 atmosfere …	{0} de atmosfere	… ale (celor) 21 de atmosfere …
pressure	megapascals	masculine	Un megapascal costă 5 €, doi costă 9 €.	nominative	{0} megapascal	1 megapascal este/sunt …	{0} megapascali	2 megapascali este/sunt …	{0} de megapascali	21 de megapascali este/sunt …
pressure	megapascals	masculine	Un megapascal costă 5 €, doi costă 9 €.	genitive	unui megapascal	… ale (celor) unui megapascal …	{0} megapascali	… ale (celor) 2 megapascali …	{0} de megapascali	… ale (celor) 21 de megapascali …
resolution	dot-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a	nominative	{0} punct pe inch	1 punct pe inch este/sunt …	{0} puncte pe inch	2 puncte pe inch este/sunt …	{0} de puncte pe inch	21 de puncte pe inch este/sunt …
resolution	dot-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a	genitive	{0} punct pe inch	… ale (celor) 1 punct pe inch …	{0} puncte pe inch	… ale (celor) 2 puncte pe inch …	{0} de puncte pe inch	… ale (celor) 21 de puncte pe inch …
resolution	pixel-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a	nominative	{0} pixel pe inch	1 pixel pe inch este/sunt …	{0} pixeli pe inch	2 pixeli pe inch este/sunt …	{0} de pixeli pe inch	21 de pixeli pe inch este/sunt …
resolution	pixel-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a	genitive	{0} pixel pe inch	… ale (celor) 1 pixel pe inch …	{0} pixeli pe inch	… ale (celor) 2 pixeli pe inch …	{0} de pixeli pe inch	… ale (celor) 21 de pixeli pe inch …
resolution	pixel-per-centimeter • ( = 1 dpcm)	masculine	Un pixel pe centimetru costă 5 €, doi costă 9 €.	nominative	{0} pixel pe centimetru	1 pixel pe centimetru este/sunt …	{0} pixeli pe centimetru	2 pixeli pe centimetru este/sunt …	{0} de pixeli pe centimetru	21 de pixeli pe centimetru este/sunt …
resolution	pixel-per-centimeter • ( = 1 dpcm)	masculine	Un pixel pe centimetru costă 5 €, doi costă 9 €.	genitive	unui pixel pe centimetru	… ale (celor) unui pixel pe centimetru …	{0} pixeli pe centimetru	… ale (celor) 2 pixeli pe centimetru …	{0} de pixeli pe centimetru	… ale (celor) 21 de pixeli pe centimetru …
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	masculine	Un kilometru pe oră costă 5 €, doi costă 9 €.	nominative	{0} kilometru pe oră	1 kilometru pe oră este/sunt …	{0} kilometri pe oră	2 kilometri pe oră este/sunt …	{0} de kilometri pe oră	21 de kilometri pe oră este/sunt …
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	masculine	Un kilometru pe oră costă 5 €, doi costă 9 €.	genitive	unui kilometru pe oră	… ale (celor) unui kilometru pe oră …	{0} kilometri pe oră	… ale (celor) 2 kilometri pe oră …	{0} de kilometri pe oră	… ale (celor) 21 de kilometri pe oră …
speed	mile-per-hour • ( = 0.44704 m/s)	n/a	n/a	nominative	{0} milă pe oră	1 milă pe oră este/sunt …	{0} mile pe oră	2 mile pe oră este/sunt …	{0} de mile pe oră	21 de mile pe oră este/sunt …
speed	mile-per-hour • ( = 0.44704 m/s)	n/a	n/a	genitive	{0} milă pe oră	… ale (celor) 1 milă pe oră …	{0} mile pe oră	… ale (celor) 2 mile pe oră …	{0} de mile pe oră	… ale (celor) 21 de mile pe oră …
speed	meters per second	masculine	Un metru pe secundă costă 5 €, doi costă 9 €.	nominative	{0} metru pe secundă	1 metru pe secundă este/sunt …	{0} metri pe secundă	2 metri pe secundă este/sunt …	{0} de metri pe secundă	21 de metri pe secundă este/sunt …
speed	meters per second	masculine	Un metru pe secundă costă 5 €, doi costă 9 €.	genitive	unui metru pe secundă	… ale (celor) unui metru pe secundă …	{0} metri pe secundă	… ale (celor) 2 metri pe secundă …	{0} de metri pe secundă	… ale (celor) 21 de metri pe secundă …
speed	light-speed • ( = 299792458 m/s)	n/a	n/a	nominative	{0} light	1 light este/sunt …	{0} light	2 light este/sunt …	{0} light	21 light este/sunt …
speed	light-speed • ( = 299792458 m/s)	n/a	n/a	genitive	{0} light	… ale (celor) 1 light …	{0} light	… ale (celor) 2 light …	{0} light	… ale (celor) 21 light …
substance-amount	items	masculine	Un de itemi costă 5 €, doi costă 9 €.	nominative	{0} de itemi	1 de itemi este/sunt …	{0} itemi	2 itemi este/sunt …	{0} de itemi	21 de itemi este/sunt …
substance-amount	items	masculine	Un de itemi costă 5 €, doi costă 9 €.	genitive	unui item	… ale (celor) unui item …	{0} itemi	… ale (celor) 2 itemi …	{0} de itemi	… ale (celor) 21 de itemi …
substance-amount	mole • ( = 602214076000000000000000 items)	masculine	Un mol costă 5 €, doi costă 9 €.	nominative	{0} mol	1 mol este/sunt …	{0} moli	2 moli este/sunt …	{0} de moli	21 de moli este/sunt …
substance-amount	mole • ( = 602214076000000000000000 items)	masculine	Un mol costă 5 €, doi costă 9 €.	genitive	unui mol	… ale (celor) unui mol …	{0} moli	… ale (celor) 2 moli …	{0} de moli	… ale (celor) 21 de moli …
temperature	degrees temperature	neuter	Un grad costă 5 €, două costă 9 €.	nominative	{0} grad	1 grad este/sunt …	{0} grade	2 grade este/sunt …	{0} de grade	21 de grade este/sunt …
temperature	degrees temperature	neuter	Un grad costă 5 €, două costă 9 €.	genitive	unui grad	… ale (celor) unui grad …	{0} grade	… ale (celor) 2 grade …	{0} de grade	… ale (celor) 21 de grade …
temperature	fahrenheit • ( = 0.˙5 K)	n/a	n/a	nominative	{0} grad Fahrenheit	1 grad Fahrenheit este/sunt …	{0} grade Fahrenheit	2 grade Fahrenheit este/sunt …	{0} de grade Fahrenheit	21 de grade Fahrenheit este/sunt …
temperature	fahrenheit • ( = 0.˙5 K)	n/a	n/a	genitive	{0} grad Fahrenheit	… ale (celor) 1 grad Fahrenheit …	{0} grade Fahrenheit	… ale (celor) 2 grade Fahrenheit …	{0} de grade Fahrenheit	… ale (celor) 21 de grade Fahrenheit …
temperature	celsius • ( = 1 K)	neuter	Un grad Celsius costă 5 €, două costă 9 €.	nominative	{0} grad Celsius	1 grad Celsius este/sunt …	{0} grade Celsius	2 grade Celsius este/sunt …	{0} de grade Celsius	21 de grade Celsius este/sunt …
temperature	celsius • ( = 1 K)	neuter	Un grad Celsius costă 5 €, două costă 9 €.	genitive	unui grad Celsius	… ale (celor) unui grad Celsius …	{0} grade Celsius	… ale (celor) 2 grade Celsius …	{0} de grade Celsius	… ale (celor) 21 de grade Celsius …
temperature	kelvins	masculine	Un kelvin costă 5 €, doi costă 9 €.	nominative	{0} kelvin	1 kelvin este/sunt …	{0} kelvini	2 kelvini este/sunt …	{0} de kelvini	21 de kelvini este/sunt …
temperature	kelvins	masculine	Un kelvin costă 5 €, doi costă 9 €.	genitive	unui kelvin	… ale (celor) unui kelvin …	{0} kelvini	… ale (celor) 2 kelvini …	{0} de kelvini	… ale (celor) 21 de kelvini …
typewidth	typographic ems	masculine	Un em costă 5 €, doi costă 9 €.	nominative	{0} em	1 em este/sunt …	{0} em	2 em este/sunt …	{0} em	21 em este/sunt …
typewidth	typographic ems	masculine	Un em costă 5 €, doi costă 9 €.	genitive	{0} em	… ale (celor) 1 em …	{0} em	… ale (celor) 2 em …	{0} em	… ale (celor) 21 em …
voltage	volts	masculine	Un volt costă 5 €, doi costă 9 €.	nominative	{0} volt	1 volt este/sunt …	{0} volți	2 volți este/sunt …	{0} de volți	21 de volți este/sunt …
voltage	volts	masculine	Un volt costă 5 €, doi costă 9 €.	genitive	unui volt	… ale (celor) unui volt …	{0} volți	… ale (celor) 2 volți …	{0} de volți	… ale (celor) 21 de volți …
volume	drop • ( = 0.0513429332682291˙6 mL)	n/a	n/a	nominative	{0} picătură	1 picătură este/sunt …	{0} picături	2 picături este/sunt …	{0} de picături	21 de picături este/sunt …
volume	drop • ( = 0.0513429332682291˙6 mL)	n/a	n/a	genitive	{0} picătură	… ale (celor) 1 picătură …	{0} picături	… ale (celor) 2 picături …	{0} de picături	… ale (celor) 21 de picături …
volume	pinch • ( = 0.23104319970703125 mL)	n/a	n/a	nominative	{0} vârf de cuțit	1 vârf de cuțit este/sunt …	{0} vârfuri de cuțit	2 vârfuri de cuțit este/sunt …	{0} de vârfuri de cuțit	21 de vârfuri de cuțit este/sunt …
volume	pinch • ( = 0.23104319970703125 mL)	n/a	n/a	genitive	{0} vârf de cuțit	… ale (celor) 1 vârf de cuțit …	{0} vârfuri de cuțit	… ale (celor) 2 vârfuri de cuțit …	{0} de vârfuri de cuțit	… ale (celor) 21 de vârfuri de cuțit …
volume	cubic-centimeter • ( = 1 mL)	masculine	Un centimetru cub costă 5 €, doi costă 9 €.	nominative	{0} centimetru cub	1 centimetru cub este/sunt …	{0} centimetri cubi	2 centimetri cubi este/sunt …	{0} de centimetri cubi	21 de centimetri cubi este/sunt …
volume	cubic-centimeter • ( = 1 mL)	masculine	Un centimetru cub costă 5 €, doi costă 9 €.	genitive	unui centimetru cub	… ale (celor) unui centimetru cub …	{0} centimetri cubi	… ale (celor) 2 centimetri cubi …	{0} de centimetri cubi	… ale (celor) 21 de centimetri cubi …
volume	milliliters	masculine	Un mililitru costă 5 €, doi costă 9 €.	nominative	{0} mililitru	1 mililitru este/sunt …	{0} mililitri	2 mililitri este/sunt …	{0} de mililitri	21 de mililitri este/sunt …
volume	milliliters	masculine	Un mililitru costă 5 €, doi costă 9 €.	genitive	unui mililitru	… ale (celor) unui mililitru …	{0} mililitri	… ale (celor) 2 mililitri …	{0} de mililitri	… ale (celor) 21 de mililitri …
volume	dessert-spoon • ( = 1.84834559765625 mL)	n/a	n/a	nominative	{0} lingură de desert	1 lingură de desert este/sunt …	{0} linguri de desert	2 linguri de desert este/sunt …	{0} de linguri de desert	21 de linguri de desert este/sunt …
volume	dessert-spoon • ( = 1.84834559765625 mL)	n/a	n/a	genitive	{0} lingură de desert	… ale (celor) 1 lingură de desert …	{0} linguri de desert	… ale (celor) 2 linguri de desert …	{0} de linguri de desert	… ale (celor) 21 de linguri de desert …
volume	dessert-spoon-imperial • ( = 2.2197705078125 mL)	n/a	n/a	nominative	{0} lingură de desert imperială	1 lingură de desert imperială este/sunt …	{0} linguri de desert imperiale	2 linguri de desert imperiale este/sunt …	{0} de linguri de desert imperiale	21 de linguri de desert imperiale este/sunt …
volume	dessert-spoon-imperial • ( = 2.2197705078125 mL)	n/a	n/a	genitive	{0} lingură de desert imperială	… ale (celor) 1 lingură de desert imperială …	{0} linguri de desert imperiale	… ale (celor) 2 linguri de desert imperiale …	{0} de linguri de desert imperiale	… ale (celor) 21 de linguri de desert imperiale …
volume	dram • ( = 3.6966911953125 mL)	n/a	n/a	nominative	{0} dram lichid	1 dram lichid este/sunt …	{0} drami lichizi	2 drami lichizi este/sunt …	{0} de drami lichizi	21 de drami lichizi este/sunt …
volume	dram • ( = 3.6966911953125 mL)	n/a	n/a	genitive	{0} dram lichid	… ale (celor) 1 dram lichid …	{0} drami lichizi	… ale (celor) 2 drami lichizi …	{0} de drami lichizi	… ale (celor) 21 de drami lichizi …
volume	teaspoon • ( = 4.92892159375 mL)	n/a	n/a	nominative	{0} linguriță	1 linguriță este/sunt …	{0} lingurițe	2 lingurițe este/sunt …	{0} de lingurițe	21 de lingurițe este/sunt …
volume	teaspoon • ( = 4.92892159375 mL)	n/a	n/a	genitive	{0} linguriță	… ale (celor) 1 linguriță …	{0} lingurițe	… ale (celor) 2 lingurițe …	{0} de lingurițe	… ale (celor) 21 de lingurițe …
volume	centiliters	masculine	Un centilitru costă 5 €, doi costă 9 €.	nominative	{0} centilitru	1 centilitru este/sunt …	{0} centilitri	2 centilitri este/sunt …	{0} de centilitri	21 de centilitri este/sunt …
volume	centiliters	masculine	Un centilitru costă 5 €, doi costă 9 €.	genitive	unui centilitru	… ale (celor) unui centilitru …	{0} centilitri	… ale (celor) 2 centilitri …	{0} de centilitri	… ale (celor) 21 de centilitri …
volume	tablespoon • ( = 1.478676478125 cL)	n/a	n/a	nominative	{0} lingură	1 lingură este/sunt …	{0} linguri	2 linguri este/sunt …	{0} de linguri	21 de linguri este/sunt …
volume	tablespoon • ( = 1.478676478125 cL)	n/a	n/a	genitive	{0} lingură	… ale (celor) 1 lingură …	{0} linguri	… ale (celor) 2 linguri …	{0} de linguri	… ale (celor) 21 de linguri …
volume	cubic-inch • ( = 1.6387064 cL)	n/a	n/a	nominative	{0} inch cubic	1 inch cubic este/sunt …	{0} inchi cubici	2 inchi cubici este/sunt …	{0} de inchi cubici	21 de inchi cubici este/sunt …
volume	cubic-inch • ( = 1.6387064 cL)	n/a	n/a	genitive	{0} inch cubic	… ale (celor) 1 inch cubic …	{0} inchi cubici	… ale (celor) 2 inchi cubici …	{0} de inchi cubici	… ale (celor) 21 de inchi cubici …
volume	fluid-ounce-imperial • ( = 2.84130625 cL)	n/a	n/a	nominative	{0} uncie lichidă imperială	1 uncie lichidă imperială este/sunt …	{0} uncii lichide imperiale	2 uncii lichide imperiale este/sunt …	{0} de uncii lichide imperiale	21 de uncii lichide imperiale este/sunt …
volume	fluid-ounce-imperial • ( = 2.84130625 cL)	n/a	n/a	genitive	{0} uncie lichidă imperială	… ale (celor) 1 uncie lichidă imperială …	{0} uncii lichide imperiale	… ale (celor) 2 uncii lichide imperiale …	{0} de uncii lichide imperiale	… ale (celor) 21 de uncii lichide imperiale …
volume	fluid-ounce • ( = 2.95735295625 cL)	n/a	n/a	nominative	{0} uncie lichidă	1 uncie lichidă este/sunt …	{0} uncii lichide	2 uncii lichide este/sunt …	{0} de uncii lichide	21 de uncii lichide este/sunt …
volume	fluid-ounce • ( = 2.95735295625 cL)	n/a	n/a	genitive	{0} uncie lichidă	… ale (celor) 1 uncie lichidă …	{0} uncii lichide	… ale (celor) 2 uncii lichide …	{0} de uncii lichide	… ale (celor) 21 de uncii lichide …
volume	jigger • ( = 4.436029434375 cL)	n/a	n/a	nominative	{0} jigger	1 jigger este/sunt …	{0} jiggere	2 jiggere este/sunt …	{0} de jiggere	21 de jiggere este/sunt …
volume	jigger • ( = 4.436029434375 cL)	n/a	n/a	genitive	{0} jigger	… ale (celor) 1 jigger …	{0} jiggere	… ale (celor) 2 jiggere …	{0} de jiggere	… ale (celor) 21 de jiggere …
volume	deciliter • ( = 10 cL)	masculine	Un decilitru costă 5 €, doi costă 9 €.	nominative	{0} decilitru	1 decilitru este/sunt …	{0} decilitri	2 decilitri este/sunt …	{0} de decilitri	21 de decilitri este/sunt …
volume	deciliter • ( = 10 cL)	masculine	Un decilitru costă 5 €, doi costă 9 €.	genitive	unui decilitru	… ale (celor) unui decilitru …	{0} decilitri	… ale (celor) 2 decilitri …	{0} de decilitri	… ale (celor) 21 de decilitri …
volume	cup • ( = 23.65882365 cL)	n/a	n/a	nominative	{0} cană	1 cană este/sunt …	{0} căni	2 căni este/sunt …	{0} de căni	21 de căni este/sunt …
volume	cup • ( = 23.65882365 cL)	n/a	n/a	genitive	{0} cană	… ale (celor) 1 cană …	{0} căni	… ale (celor) 2 căni …	{0} de căni	… ale (celor) 21 de căni …
volume	cup-metric • ( = 25 cL)	feminine	O cană metrică costă 5 €.	nominative	{0} cană metrică	1 cană metrică este/sunt …	{0} căni metrice	2 căni metrice este/sunt …	{0} de căni metrice	21 de căni metrice este/sunt …
volume	cup-metric • ( = 25 cL)	feminine	O cană metrică costă 5 €.	genitive	unei căni metrice	… ale (celor) unei căni metrice …	{0} căni metrice	… ale (celor) 2 căni metrice …	{0} de căni metrice	… ale (celor) 21 de căni metrice …
volume	pint • ( = 47.3176473 cL)	n/a	n/a	nominative	{0} pintă	1 pintă este/sunt …	{0} pinte	2 pinte este/sunt …	{0} de pinte	21 de pinte este/sunt …
volume	pint • ( = 47.3176473 cL)	n/a	n/a	genitive	{0} pintă	… ale (celor) 1 pintă …	{0} pinte	… ale (celor) 2 pinte …	{0} de pinte	… ale (celor) 21 de pinte …
volume	pint-metric • ( = 50 cL)	feminine	O pintă metrică costă 5 €.	nominative	{0} pintă metrică	1 pintă metrică este/sunt …	{0} pinte metrice	2 pinte metrice este/sunt …	{0} de pinte metrice	21 de pinte metrice este/sunt …
volume	pint-metric • ( = 50 cL)	feminine	O pintă metrică costă 5 €.	genitive	unei pinte metrice	… ale (celor) unei pinte metrice …	{0} pinte metrice	… ale (celor) 2 pinte metrice …	{0} de pinte metrice	… ale (celor) 21 de pinte metrice …
volume	quart • ( = 0.946352946 L)	n/a	n/a	nominative	{0} quart	1 quart este/sunt …	{0} quarte	2 quarte este/sunt …	{0} de quarte	21 de quarte este/sunt …
volume	quart • ( = 0.946352946 L)	n/a	n/a	genitive	{0} quart	… ale (celor) 1 quart …	{0} quarte	… ale (celor) 2 quarte …	{0} de quarte	… ale (celor) 21 de quarte …
volume	liters	masculine	Un litru costă 5 €, doi costă 9 €.	nominative	{0} litru	1 litru este/sunt …	{0} litri	2 litri este/sunt …	{0} de litri	21 de litri este/sunt …
volume	liters	masculine	Un litru costă 5 €, doi costă 9 €.	genitive	unui litru	… ale (celor) unui litru …	{0} litri	… ale (celor) 2 litri …	{0} de litri	… ale (celor) 21 de litri …
volume	quart-imperial • ( = 1.1365225 L)	n/a	n/a	nominative	{0} quart imperial	1 quart imperial este/sunt …	{0} quarte imperiale	2 quarte imperiale este/sunt …	{0} de quarte imperiale	21 de quarte imperiale este/sunt …
volume	quart-imperial • ( = 1.1365225 L)	n/a	n/a	genitive	{0} quart imperial	… ale (celor) 1 quart imperial …	{0} quarte imperiale	… ale (celor) 2 quarte imperiale …	{0} de quarte imperiale	… ale (celor) 21 de quarte imperiale …
volume	gallon • ( = 3.785411784 L)	n/a	n/a	nominative	{0} galon	1 galon este/sunt …	{0} galoane	2 galoane este/sunt …	{0} de galoane	21 de galoane este/sunt …
volume	gallon • ( = 3.785411784 L)	n/a	n/a	genitive	{0} galon	… ale (celor) 1 galon …	{0} galoane	… ale (celor) 2 galoane …	{0} de galoane	… ale (celor) 21 de galoane …
volume	gallon-imperial • ( = 4.54609 L)	n/a	n/a	nominative	{0} galon imperial	1 galon imperial este/sunt …	{0} galoane imperiale	2 galoane imperiale este/sunt …	{0} de galoane imperiale	21 de galoane imperiale este/sunt …
volume	gallon-imperial • ( = 4.54609 L)	n/a	n/a	genitive	{0} galon imperial	… ale (celor) 1 galon imperial …	{0} galoane imperiale	… ale (celor) 2 galoane imperiale …	{0} de galoane imperiale	… ale (celor) 21 de galoane imperiale …
volume	cubic-foot • ( = 28.316846592 L)	n/a	n/a	nominative	{0} picior cubic	1 picior cubic este/sunt …	{0} picioare cubice	2 picioare cubice este/sunt …	{0} de picioare cubice	21 de picioare cubice este/sunt …
volume	cubic-foot • ( = 28.316846592 L)	n/a	n/a	genitive	{0} picior cubic	… ale (celor) 1 picior cubic …	{0} picioare cubice	… ale (celor) 2 picioare cubice …	{0} de picioare cubice	… ale (celor) 21 de picioare cubice …
volume	bushel • ( = 35.23907016688 L)	n/a	n/a	nominative	{0} baniță	1 baniță este/sunt …	{0} banițe	2 banițe este/sunt …	{0} de banițe	21 de banițe este/sunt …
volume	bushel • ( = 35.23907016688 L)	n/a	n/a	genitive	{0} baniță	… ale (celor) 1 baniță …	{0} banițe	… ale (celor) 2 banițe …	{0} de banițe	… ale (celor) 21 de banițe …
volume	hectoliters	masculine	Un hectolitru costă 5 €, doi costă 9 €.	nominative	{0} hectolitru	1 hectolitru este/sunt …	{0} hectolitri	2 hectolitri este/sunt …	{0} de hectolitri	21 de hectolitri este/sunt …
volume	hectoliters	masculine	Un hectolitru costă 5 €, doi costă 9 €.	genitive	unui hectolitru	… ale (celor) unui hectolitru …	{0} hectolitri	… ale (celor) 2 hectolitri …	{0} de hectolitri	… ale (celor) 21 de hectolitri …
volume	barrel • ( = 1.58987294928 hL)	n/a	n/a	nominative	{0} baril	1 baril este/sunt …	{0} barili	2 barili este/sunt …	{0} de barili	21 de barili este/sunt …
volume	barrel • ( = 1.58987294928 hL)	n/a	n/a	genitive	{0} baril	… ale (celor) 1 baril …	{0} barili	… ale (celor) 2 barili …	{0} de barili	… ale (celor) 21 de barili …
volume	cubic-yard • ( = 0.764554857984 m³)	n/a	n/a	nominative	{0} iard cubic	1 iard cubic este/sunt …	{0} iarzi cubici	2 iarzi cubici este/sunt …	{0} de iarzi cubici	21 de iarzi cubici este/sunt …
volume	cubic-yard • ( = 0.764554857984 m³)	n/a	n/a	genitive	{0} iard cubic	… ale (celor) 1 iard cubic …	{0} iarzi cubici	… ale (celor) 2 iarzi cubici …	{0} de iarzi cubici	… ale (celor) 21 de iarzi cubici …
volume	cubic meters	masculine	Un metru cub costă 5 €, doi costă 9 €.	nominative	{0} metru cub	1 metru cub este/sunt …	{0} metri cubi	2 metri cubi este/sunt …	{0} de metri cubi	21 de metri cubi este/sunt …
volume	cubic meters	masculine	Un metru cub costă 5 €, doi costă 9 €.	genitive	unui metru cub	… ale (celor) unui metru cub …	{0} metri cubi	… ale (celor) 2 metri cubi …	{0} de metri cubi	… ale (celor) 21 de metri cubi …
volume	megaliters	masculine	Un megalitru costă 5 €, doi costă 9 €.	nominative	{0} megalitru	1 megalitru este/sunt …	{0} megalitri	2 megalitri este/sunt …	{0} de megalitri	21 de megalitri este/sunt …
volume	megaliters	masculine	Un megalitru costă 5 €, doi costă 9 €.	genitive	unui megalitru	… ale (celor) unui megalitru …	{0} megalitri	… ale (celor) 2 megalitri …	{0} de megalitri	… ale (celor) 21 de megalitri …
