# Grammatical Features
#Locale	ID	Feature	Usage	Values
Czech	cs	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative, instrumental
Czech	cs	grammaticalCase	units	nominative, accusative, genitive, locative, dative, instrumental
Czech	cs	grammaticalGender	general	animate, inanimate, feminine, neuter
Czech	cs	grammaticalGender	units	inanimate, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} den	<div class='cldr_example'><span class='cldr_substituted'>1</span> den</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> den</div>
Plural	few	{0} dny	<div class='cldr_example'><span class='cldr_substituted'>2</span> dny</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dny</div>
Plural	many	{0} dne	<div class='cldr_example'><span class='cldr_substituted'>10,0</span> dne</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dne</div>
Plural	other	{0} dní	<div class='cldr_example'><span class='cldr_substituted'>5</span> dní</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> dní</div>
Case (for measurement units)	nominative	Chybí ještě {0}.	<div class='cldr_example'>Chybí ještě <span class='cldr_substituted'>1 metr čtvereční</span>.</div><div class='cldr_example'>❌  Chybí ještě <span class='cldr_substituted'>1 metru čtverečnímu</span>.</div>
Case (for measurement units)	accusative	Naměřili jsme {0}.	<div class='cldr_example'>Naměřili jsme <span class='cldr_substituted'>1 metr čtvereční</span>.</div><div class='cldr_example'>❌  Naměřili jsme <span class='cldr_substituted'>1 metru čtverečnímu</span>.</div>
Case (for measurement units)	genitive	Bez {0} se obejdeme.	<div class='cldr_example'>Bez <span class='cldr_substituted'>10,0 metru čtverečního</span> se obejdeme.</div><div class='cldr_example'>❌  Bez <span class='cldr_substituted'>1 metr čtvereční</span> se obejdeme.</div>
Case (for measurement units)	locative	Po {0} se zastavil.	<div class='cldr_example'>Po <span class='cldr_substituted'>1 metru čtverečním</span> se zastavil.</div><div class='cldr_example'>❌  Po <span class='cldr_substituted'>1 metr čtvereční</span> se zastavil.</div>
Case (for measurement units)	dative	Díky {0} navíc to mohl stihnout.	<div class='cldr_example'>Díky <span class='cldr_substituted'>1 metru čtverečnímu</span> navíc to mohl stihnout.</div><div class='cldr_example'>❌  Díky <span class='cldr_substituted'>1 metr čtvereční</span> navíc to mohl stihnout.</div>
Case (for measurement units)	instrumental	Spokojíme se s {0}.	<div class='cldr_example'>Spokojíme se s <span class='cldr_substituted'>1 metrem čtverečním</span>.</div><div class='cldr_example'>❌  Spokojíme se s <span class='cldr_substituted'>1 metr čtvereční</span>.</div>
Gender (for measurement units)	inanimate	Jeden {0} stál 135 Kč.	<div class='cldr_example'>Jeden <span class='cldr_substituted'>den</span> stál 135 Kč.</div><div class='cldr_example'>❌  Jeden <span class='cldr_substituted'>hodina</span> stál 135 Kč.</div>
Gender (for measurement units)	feminine	Jedna {0} stála 135 Kč.	<div class='cldr_example'>Jedna <span class='cldr_substituted'>hodina</span> stála 135 Kč.</div><div class='cldr_example'>❌  Jedna <span class='cldr_substituted'>den</span> stála 135 Kč.</div>
Gender (for measurement units)	neuter	Jedno {0} stálo 135 Kč.	<div class='cldr_example'>Jedno <span class='cldr_substituted'>století</span> stálo 135 Kč.</div><div class='cldr_example'>❌  Jedno <span class='cldr_substituted'>hodina</span> stálo 135 Kč.</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for few	Case MP + pattern with 3.0	Pattern for many	Case MP + pattern with 0.1	Pattern for other	Case MP + pattern with 5.0
length	solar-radius • ( = 695700 km)	n/a	n/a	genitive	{0} poloměr Slunce	Bez 1 poloměr Slunce se obejdeme.	{0} poloměry Slunce	Bez 3 poloměry Slunce se obejdeme.	{0} poloměru Slunce	Bez 0,1 poloměru Slunce se obejdeme.	{0} poloměrů Slunce	Bez 5 poloměrů Slunce se obejdeme.
length	solar-radius • ( = 695700 km)	n/a	n/a	locative	{0} poloměr Slunce	Po 1 poloměr Slunce se zastavil.	{0} poloměry Slunce	Po 3 poloměry Slunce se zastavil.	{0} poloměru Slunce	Po 0,1 poloměru Slunce se zastavil.	{0} poloměrů Slunce	Po 5 poloměrů Slunce se zastavil.
length	solar-radius • ( = 695700 km)	n/a	n/a	dative	{0} poloměr Slunce	Díky 1 poloměr Slunce navíc to mohl stihnout.	{0} poloměry Slunce	Díky 3 poloměry Slunce navíc to mohl stihnout.	{0} poloměru Slunce	Díky 0,1 poloměru Slunce navíc to mohl stihnout.	{0} poloměrů Slunce	Díky 5 poloměrů Slunce navíc to mohl stihnout.
length	solar-radius • ( = 695700 km)	n/a	n/a	instrumental	{0} poloměr Slunce	Spokojíme se s 1 poloměr Slunce.	{0} poloměry Slunce	Spokojíme se s 3 poloměry Slunce.	{0} poloměru Slunce	Spokojíme se s 0,1 poloměru Slunce.	{0} poloměrů Slunce	Spokojíme se s 5 poloměrů Slunce.
length	light-year • ( = 9460730472580.8 km)	n/a	n/a	nominative	{0} světelný rok	Chybí ještě 1 světelný rok.	{0} světelné roky	Chybí ještě 3 světelné roky.	{0} světelného roku	Chybí ještě 0,1 světelného roku.	{0} světelných let	Chybí ještě 5 světelných let.
length	light-year • ( = 9460730472580.8 km)	n/a	n/a	accusative	{0} světelný rok	Naměřili jsme 1 světelný rok.	{0} světelné roky	Naměřili jsme 3 světelné roky.	{0} světelného roku	Naměřili jsme 0,1 světelného roku.	{0} světelných let	Naměřili jsme 5 světelných let.
length	light-year • ( = 9460730472580.8 km)	n/a	n/a	genitive	{0} světelný rok	Bez 1 světelný rok se obejdeme.	{0} světelné roky	Bez 3 světelné roky se obejdeme.	{0} světelného roku	Bez 0,1 světelného roku se obejdeme.	{0} světelných let	Bez 5 světelných let se obejdeme.
length	light-year • ( = 9460730472580.8 km)	n/a	n/a	locative	{0} světelný rok	Po 1 světelný rok se zastavil.	{0} světelné roky	Po 3 světelné roky se zastavil.	{0} světelného roku	Po 0,1 světelného roku se zastavil.	{0} světelných let	Po 5 světelných let se zastavil.
length	light-year • ( = 9460730472580.8 km)	n/a	n/a	dative	{0} světelný rok	Díky 1 světelný rok navíc to mohl stihnout.	{0} světelné roky	Díky 3 světelné roky navíc to mohl stihnout.	{0} světelného roku	Díky 0,1 světelného roku navíc to mohl stihnout.	{0} světelných let	Díky 5 světelných let navíc to mohl stihnout.
length	light-year • ( = 9460730472580.8 km)	n/a	n/a	instrumental	{0} světelný rok	Spokojíme se s 1 světelný rok.	{0} světelné roky	Spokojíme se s 3 světelné roky.	{0} světelného roku	Spokojíme se s 0,1 světelného roku.	{0} světelných let	Spokojíme se s 5 světelných let.
length	parsec • ( = ~3.085677581491367E13 km)	n/a	n/a	nominative	{0} parsek	Chybí ještě 1 parsek.	{0} parseky	Chybí ještě 3 parseky.	{0} parseku	Chybí ještě 0,1 parseku.	{0} parseků	Chybí ještě 5 parseků.
length	parsec • ( = ~3.085677581491367E13 km)	n/a	n/a	accusative	{0} parsek	Naměřili jsme 1 parsek.	{0} parseky	Naměřili jsme 3 parseky.	{0} parseku	Naměřili jsme 0,1 parseku.	{0} parseků	Naměřili jsme 5 parseků.
length	parsec • ( = ~3.085677581491367E13 km)	n/a	n/a	genitive	{0} parsek	Bez 1 parsek se obejdeme.	{0} parseky	Bez 3 parseky se obejdeme.	{0} parseku	Bez 0,1 parseku se obejdeme.	{0} parseků	Bez 5 parseků se obejdeme.
length	parsec • ( = ~3.085677581491367E13 km)	n/a	n/a	locative	{0} parsek	Po 1 parsek se zastavil.	{0} parseky	Po 3 parseky se zastavil.	{0} parseku	Po 0,1 parseku se zastavil.	{0} parseků	Po 5 parseků se zastavil.
length	parsec • ( = ~3.085677581491367E13 km)	n/a	n/a	dative	{0} parsek	Díky 1 parsek navíc to mohl stihnout.	{0} parseky	Díky 3 parseky navíc to mohl stihnout.	{0} parseku	Díky 0,1 parseku navíc to mohl stihnout.	{0} parseků	Díky 5 parseků navíc to mohl stihnout.
length	parsec • ( = ~3.085677581491367E13 km)	n/a	n/a	instrumental	{0} parsek	Spokojíme se s 1 parsek.	{0} parseky	Spokojíme se s 3 parseky.	{0} parseku	Spokojíme se s 0,1 parseku.	{0} parseků	Spokojíme se s 5 parseků.
luminous-flux	lumen	inanimate	Jeden lumen stál 135 Kč.	nominative	{0} lumen	Chybí ještě 1 lumen.	{0} lumeny	Chybí ještě 3 lumeny.	{0} lumenu	Chybí ještě 0,1 lumenu.	{0} lumenů	Chybí ještě 5 lumenů.
luminous-flux	lumen	inanimate	Jeden lumen stál 135 Kč.	accusative	{0} lumen	Naměřili jsme 1 lumen.	{0} lumeny	Naměřili jsme 3 lumeny.	{0} lumenu	Naměřili jsme 0,1 lumenu.	{0} lumenů	Naměřili jsme 5 lumenů.
luminous-flux	lumen	inanimate	Jeden lumen stál 135 Kč.	genitive	{0} lumenu	Bez 1 lumenu se obejdeme.	{0} lumenů	Bez 3 lumenů se obejdeme.	{0} lumenu	Bez 0,1 lumenu se obejdeme.	{0} lumenů	Bez 5 lumenů se obejdeme.
luminous-flux	lumen	inanimate	Jeden lumen stál 135 Kč.	locative	{0} lumenu	Po 1 lumenu se zastavil.	{0} lumenech	Po 3 lumenech se zastavil.	{0} lumenu	Po 0,1 lumenu se zastavil.	{0} lumenech	Po 5 lumenech se zastavil.
luminous-flux	lumen	inanimate	Jeden lumen stál 135 Kč.	dative	{0} lumenu	Díky 1 lumenu navíc to mohl stihnout.	{0} lumenům	Díky 3 lumenům navíc to mohl stihnout.	{0} lumenu	Díky 0,1 lumenu navíc to mohl stihnout.	{0} lumenům	Díky 5 lumenům navíc to mohl stihnout.
luminous-flux	lumen	inanimate	Jeden lumen stál 135 Kč.	instrumental	{0} lumenem	Spokojíme se s 1 lumenem.	{0} lumeny	Spokojíme se s 3 lumeny.	{0} lumenu	Spokojíme se s 0,1 lumenu.	{0} lumeny	Spokojíme se s 5 lumeny.
luminous-intensity	candela	feminine	Jedna kandela stála 135 Kč.	nominative	{0} kandela	Chybí ještě 1 kandela.	{0} kandely	Chybí ještě 3 kandely.	{0} kandely	Chybí ještě 0,1 kandely.	{0} kandel	Chybí ještě 5 kandel.
luminous-intensity	candela	feminine	Jedna kandela stála 135 Kč.	accusative	{0} kandelu	Naměřili jsme 1 kandelu.	{0} kandely	Naměřili jsme 3 kandely.	{0} kandely	Naměřili jsme 0,1 kandely.	{0} kandel	Naměřili jsme 5 kandel.
luminous-intensity	candela	feminine	Jedna kandela stála 135 Kč.	genitive	{0} kandely	Bez 1 kandely se obejdeme.	{0} kandel	Bez 3 kandel se obejdeme.	{0} kandely	Bez 0,1 kandely se obejdeme.	{0} kandel	Bez 5 kandel se obejdeme.
luminous-intensity	candela	feminine	Jedna kandela stála 135 Kč.	locative	{0} kandele	Po 1 kandele se zastavil.	{0} kandelách	Po 3 kandelách se zastavil.	{0} kandely	Po 0,1 kandely se zastavil.	{0} kandelách	Po 5 kandelách se zastavil.
luminous-intensity	candela	feminine	Jedna kandela stála 135 Kč.	dative	{0} kandele	Díky 1 kandele navíc to mohl stihnout.	{0} kandelám	Díky 3 kandelám navíc to mohl stihnout.	{0} kandely	Díky 0,1 kandely navíc to mohl stihnout.	{0} kandelám	Díky 5 kandelám navíc to mohl stihnout.
luminous-intensity	candela	feminine	Jedna kandela stála 135 Kč.	instrumental	{0} kandelou	Spokojíme se s 1 kandelou.	{0} kandelami	Spokojíme se s 3 kandelami.	{0} kandely	Spokojíme se s 0,1 kandely.	{0} kandelami	Spokojíme se s 5 kandelami.
mass	micrograms	inanimate	Jeden mikrogram stál 135 Kč.	nominative	{0} mikrogram	Chybí ještě 1 mikrogram.	{0} mikrogramy	Chybí ještě 3 mikrogramy.	{0} mikrogramu	Chybí ještě 0,1 mikrogramu.	{0} mikrogramů	Chybí ještě 5 mikrogramů.
mass	micrograms	inanimate	Jeden mikrogram stál 135 Kč.	accusative	{0} mikrogram	Naměřili jsme 1 mikrogram.	{0} mikrogramy	Naměřili jsme 3 mikrogramy.	{0} mikrogramu	Naměřili jsme 0,1 mikrogramu.	{0} mikrogramů	Naměřili jsme 5 mikrogramů.
mass	micrograms	inanimate	Jeden mikrogram stál 135 Kč.	genitive	{0} mikrogramu	Bez 1 mikrogramu se obejdeme.	{0} mikrogramů	Bez 3 mikrogramů se obejdeme.	{0} mikrogramu	Bez 0,1 mikrogramu se obejdeme.	{0} mikrogramů	Bez 5 mikrogramů se obejdeme.
mass	micrograms	inanimate	Jeden mikrogram stál 135 Kč.	locative	{0} mikrogramu	Po 1 mikrogramu se zastavil.	{0} mikrogramech	Po 3 mikrogramech se zastavil.	{0} mikrogramu	Po 0,1 mikrogramu se zastavil.	{0} mikrogramech	Po 5 mikrogramech se zastavil.
mass	micrograms	inanimate	Jeden mikrogram stál 135 Kč.	dative	{0} mikrogramu	Díky 1 mikrogramu navíc to mohl stihnout.	{0} mikrogramům	Díky 3 mikrogramům navíc to mohl stihnout.	{0} mikrogramu	Díky 0,1 mikrogramu navíc to mohl stihnout.	{0} mikrogramům	Díky 5 mikrogramům navíc to mohl stihnout.
mass	micrograms	inanimate	Jeden mikrogram stál 135 Kč.	instrumental	{0} mikrogramem	Spokojíme se s 1 mikrogramem.	{0} mikrogramy	Spokojíme se s 3 mikrogramy.	{0} mikrogramu	Spokojíme se s 0,1 mikrogramu.	{0} mikrogramy	Spokojíme se s 5 mikrogramy.
mass	milligrams	inanimate	Jeden miligram stál 135 Kč.	nominative	{0} miligram	Chybí ještě 1 miligram.	{0} miligramy	Chybí ještě 3 miligramy.	{0} miligramu	Chybí ještě 0,1 miligramu.	{0} miligramů	Chybí ještě 5 miligramů.
mass	milligrams	inanimate	Jeden miligram stál 135 Kč.	accusative	{0} miligram	Naměřili jsme 1 miligram.	{0} miligramy	Naměřili jsme 3 miligramy.	{0} miligramu	Naměřili jsme 0,1 miligramu.	{0} miligramů	Naměřili jsme 5 miligramů.
mass	milligrams	inanimate	Jeden miligram stál 135 Kč.	genitive	{0} miligramu	Bez 1 miligramu se obejdeme.	{0} miligramů	Bez 3 miligramů se obejdeme.	{0} miligramu	Bez 0,1 miligramu se obejdeme.	{0} miligramů	Bez 5 miligramů se obejdeme.
mass	milligrams	inanimate	Jeden miligram stál 135 Kč.	locative	{0} miligramu	Po 1 miligramu se zastavil.	{0} miligramech	Po 3 miligramech se zastavil.	{0} miligramu	Po 0,1 miligramu se zastavil.	{0} miligramech	Po 5 miligramech se zastavil.
mass	milligrams	inanimate	Jeden miligram stál 135 Kč.	dative	{0} miligramu	Díky 1 miligramu navíc to mohl stihnout.	{0} miligramům	Díky 3 miligramům navíc to mohl stihnout.	{0} miligramu	Díky 0,1 miligramu navíc to mohl stihnout.	{0} miligramům	Díky 5 miligramům navíc to mohl stihnout.
mass	milligrams	inanimate	Jeden miligram stál 135 Kč.	instrumental	{0} miligramem	Spokojíme se s 1 miligramem.	{0} miligramy	Spokojíme se s 3 miligramy.	{0} miligramu	Spokojíme se s 0,1 miligramu.	{0} miligramy	Spokojíme se s 5 miligramy.
mass	grain • ( = 64.79891 mg)	n/a	n/a	nominative	{0} grain	Chybí ještě 1 grain.	{0} grainy	Chybí ještě 3 grainy.	{0} grainu	Chybí ještě 0,1 grainu.	{0} grainů	Chybí ještě 5 grainů.
mass	grain • ( = 64.79891 mg)	n/a	n/a	accusative	{0} grain	Naměřili jsme 1 grain.	{0} grainy	Naměřili jsme 3 grainy.	{0} grainu	Naměřili jsme 0,1 grainu.	{0} grainů	Naměřili jsme 5 grainů.
mass	grain • ( = 64.79891 mg)	n/a	n/a	genitive	{0} grain	Bez 1 grain se obejdeme.	{0} grainy	Bez 3 grainy se obejdeme.	{0} grainu	Bez 0,1 grainu se obejdeme.	{0} grainů	Bez 5 grainů se obejdeme.
mass	grain • ( = 64.79891 mg)	n/a	n/a	locative	{0} grain	Po 1 grain se zastavil.	{0} grainy	Po 3 grainy se zastavil.	{0} grainu	Po 0,1 grainu se zastavil.	{0} grainů	Po 5 grainů se zastavil.
mass	grain • ( = 64.79891 mg)	n/a	n/a	dative	{0} grain	Díky 1 grain navíc to mohl stihnout.	{0} grainy	Díky 3 grainy navíc to mohl stihnout.	{0} grainu	Díky 0,1 grainu navíc to mohl stihnout.	{0} grainů	Díky 5 grainů navíc to mohl stihnout.
mass	grain • ( = 64.79891 mg)	n/a	n/a	instrumental	{0} grain	Spokojíme se s 1 grain.	{0} grainy	Spokojíme se s 3 grainy.	{0} grainu	Spokojíme se s 0,1 grainu.	{0} grainů	Spokojíme se s 5 grainů.
mass	carat • ( = 200 mg)	inanimate	Jeden karát stál 135 Kč.	nominative	{0} karát	Chybí ještě 1 karát.	{0} karáty	Chybí ještě 3 karáty.	{0} karátu	Chybí ještě 0,1 karátu.	{0} karátů	Chybí ještě 5 karátů.
mass	carat • ( = 200 mg)	inanimate	Jeden karát stál 135 Kč.	accusative	{0} karát	Naměřili jsme 1 karát.	{0} karáty	Naměřili jsme 3 karáty.	{0} karátu	Naměřili jsme 0,1 karátu.	{0} karátů	Naměřili jsme 5 karátů.
mass	carat • ( = 200 mg)	inanimate	Jeden karát stál 135 Kč.	genitive	{0} karátu	Bez 1 karátu se obejdeme.	{0} karátů	Bez 3 karátů se obejdeme.	{0} karátu	Bez 0,1 karátu se obejdeme.	{0} karátů	Bez 5 karátů se obejdeme.
mass	carat • ( = 200 mg)	inanimate	Jeden karát stál 135 Kč.	locative	{0} karátu	Po 1 karátu se zastavil.	{0} karátech	Po 3 karátech se zastavil.	{0} karátu	Po 0,1 karátu se zastavil.	{0} karátech	Po 5 karátech se zastavil.
mass	carat • ( = 200 mg)	inanimate	Jeden karát stál 135 Kč.	dative	{0} karátu	Díky 1 karátu navíc to mohl stihnout.	{0} karátům	Díky 3 karátům navíc to mohl stihnout.	{0} karátu	Díky 0,1 karátu navíc to mohl stihnout.	{0} karátům	Díky 5 karátům navíc to mohl stihnout.
mass	carat • ( = 200 mg)	inanimate	Jeden karát stál 135 Kč.	instrumental	{0} karátem	Spokojíme se s 1 karátem.	{0} karáty	Spokojíme se s 3 karáty.	{0} karátu	Spokojíme se s 0,1 karátu.	{0} karáty	Spokojíme se s 5 karáty.
mass	grams	inanimate	Jeden gram stál 135 Kč.	nominative	{0} gram	Chybí ještě 1 gram.	{0} gramy	Chybí ještě 3 gramy.	{0} gramu	Chybí ještě 0,1 gramu.	{0} gramů	Chybí ještě 5 gramů.
mass	grams	inanimate	Jeden gram stál 135 Kč.	accusative	{0} gram	Naměřili jsme 1 gram.	{0} gramy	Naměřili jsme 3 gramy.	{0} gramu	Naměřili jsme 0,1 gramu.	{0} gramů	Naměřili jsme 5 gramů.
mass	grams	inanimate	Jeden gram stál 135 Kč.	genitive	{0} gramu	Bez 1 gramu se obejdeme.	{0} gramů	Bez 3 gramů se obejdeme.	{0} gramu	Bez 0,1 gramu se obejdeme.	{0} gramů	Bez 5 gramů se obejdeme.
mass	grams	inanimate	Jeden gram stál 135 Kč.	locative	{0} gramu	Po 1 gramu se zastavil.	{0} gramech	Po 3 gramech se zastavil.	{0} gramu	Po 0,1 gramu se zastavil.	{0} gramech	Po 5 gramech se zastavil.
mass	grams	inanimate	Jeden gram stál 135 Kč.	dative	{0} gramu	Díky 1 gramu navíc to mohl stihnout.	{0} gramům	Díky 3 gramům navíc to mohl stihnout.	{0} gramu	Díky 0,1 gramu navíc to mohl stihnout.	{0} gramům	Díky 5 gramům navíc to mohl stihnout.
mass	grams	inanimate	Jeden gram stál 135 Kč.	instrumental	{0} gramem	Spokojíme se s 1 gramem.	{0} gramy	Spokojíme se s 3 gramy.	{0} gramu	Spokojíme se s 0,1 gramu.	{0} gramy	Spokojíme se s 5 gramy.
mass	ounce • ( = 28.349523125 g)	n/a	n/a	nominative	{0} unce	Chybí ještě 1 unce.	{0} unce	Chybí ještě 3 unce.	{0} unce	Chybí ještě 0,1 unce.	{0} uncí	Chybí ještě 5 uncí.
mass	ounce • ( = 28.349523125 g)	n/a	n/a	accusative	{0} unce	Naměřili jsme 1 unce.	{0} unce	Naměřili jsme 3 unce.	{0} unce	Naměřili jsme 0,1 unce.	{0} uncí	Naměřili jsme 5 uncí.
mass	ounce • ( = 28.349523125 g)	n/a	n/a	genitive	{0} unce	Bez 1 unce se obejdeme.	{0} unce	Bez 3 unce se obejdeme.	{0} unce	Bez 0,1 unce se obejdeme.	{0} uncí	Bez 5 uncí se obejdeme.
mass	ounce • ( = 28.349523125 g)	n/a	n/a	locative	{0} unce	Po 1 unce se zastavil.	{0} unce	Po 3 unce se zastavil.	{0} unce	Po 0,1 unce se zastavil.	{0} uncí	Po 5 uncí se zastavil.
mass	ounce • ( = 28.349523125 g)	n/a	n/a	dative	{0} unce	Díky 1 unce navíc to mohl stihnout.	{0} unce	Díky 3 unce navíc to mohl stihnout.	{0} unce	Díky 0,1 unce navíc to mohl stihnout.	{0} uncí	Díky 5 uncí navíc to mohl stihnout.
mass	ounce • ( = 28.349523125 g)	n/a	n/a	instrumental	{0} unce	Spokojíme se s 1 unce.	{0} unce	Spokojíme se s 3 unce.	{0} unce	Spokojíme se s 0,1 unce.	{0} uncí	Spokojíme se s 5 uncí.
mass	ounce-troy • ( = 31.10348 g)	n/a	n/a	nominative	{0} trojská unce	Chybí ještě 1 trojská unce.	{0} trojské unce	Chybí ještě 3 trojské unce.	{0} trojské unce	Chybí ještě 0,1 trojské unce.	{0} trojských uncí	Chybí ještě 5 trojských uncí.
mass	ounce-troy • ( = 31.10348 g)	n/a	n/a	accusative	{0} trojská unce	Naměřili jsme 1 trojská unce.	{0} trojské unce	Naměřili jsme 3 trojské unce.	{0} trojské unce	Naměřili jsme 0,1 trojské unce.	{0} trojských uncí	Naměřili jsme 5 trojských uncí.
mass	ounce-troy • ( = 31.10348 g)	n/a	n/a	genitive	{0} trojská unce	Bez 1 trojská unce se obejdeme.	{0} trojské unce	Bez 3 trojské unce se obejdeme.	{0} trojské unce	Bez 0,1 trojské unce se obejdeme.	{0} trojských uncí	Bez 5 trojských uncí se obejdeme.
mass	ounce-troy • ( = 31.10348 g)	n/a	n/a	locative	{0} trojská unce	Po 1 trojská unce se zastavil.	{0} trojské unce	Po 3 trojské unce se zastavil.	{0} trojské unce	Po 0,1 trojské unce se zastavil.	{0} trojských uncí	Po 5 trojských uncí se zastavil.
mass	ounce-troy • ( = 31.10348 g)	n/a	n/a	dative	{0} trojská unce	Díky 1 trojská unce navíc to mohl stihnout.	{0} trojské unce	Díky 3 trojské unce navíc to mohl stihnout.	{0} trojské unce	Díky 0,1 trojské unce navíc to mohl stihnout.	{0} trojských uncí	Díky 5 trojských uncí navíc to mohl stihnout.
mass	ounce-troy • ( = 31.10348 g)	n/a	n/a	instrumental	{0} trojská unce	Spokojíme se s 1 trojská unce.	{0} trojské unce	Spokojíme se s 3 trojské unce.	{0} trojské unce	Spokojíme se s 0,1 trojské unce.	{0} trojských uncí	Spokojíme se s 5 trojských uncí.
mass	pound • ( = 453.59237 g)	n/a	n/a	nominative	{0} libra	Chybí ještě 1 libra.	{0} libry	Chybí ještě 3 libry.	{0} libry	Chybí ještě 0,1 libry.	{0} liber	Chybí ještě 5 liber.
mass	pound • ( = 453.59237 g)	n/a	n/a	accusative	{0} libra	Naměřili jsme 1 libra.	{0} libry	Naměřili jsme 3 libry.	{0} libry	Naměřili jsme 0,1 libry.	{0} liber	Naměřili jsme 5 liber.
mass	pound • ( = 453.59237 g)	n/a	n/a	genitive	{0} libra	Bez 1 libra se obejdeme.	{0} libry	Bez 3 libry se obejdeme.	{0} libry	Bez 0,1 libry se obejdeme.	{0} liber	Bez 5 liber se obejdeme.
mass	pound • ( = 453.59237 g)	n/a	n/a	locative	{0} libra	Po 1 libra se zastavil.	{0} libry	Po 3 libry se zastavil.	{0} libry	Po 0,1 libry se zastavil.	{0} liber	Po 5 liber se zastavil.
mass	pound • ( = 453.59237 g)	n/a	n/a	dative	{0} libra	Díky 1 libra navíc to mohl stihnout.	{0} libry	Díky 3 libry navíc to mohl stihnout.	{0} libry	Díky 0,1 libry navíc to mohl stihnout.	{0} liber	Díky 5 liber navíc to mohl stihnout.
mass	pound • ( = 453.59237 g)	n/a	n/a	instrumental	{0} libra	Spokojíme se s 1 libra.	{0} libry	Spokojíme se s 3 libry.	{0} libry	Spokojíme se s 0,1 libry.	{0} liber	Spokojíme se s 5 liber.
mass	kilograms	inanimate	Jeden kilogram stál 135 Kč.	nominative	{0} kilogram	Chybí ještě 1 kilogram.	{0} kilogramy	Chybí ještě 3 kilogramy.	{0} kilogramu	Chybí ještě 0,1 kilogramu.	{0} kilogramů	Chybí ještě 5 kilogramů.
mass	kilograms	inanimate	Jeden kilogram stál 135 Kč.	accusative	{0} kilogram	Naměřili jsme 1 kilogram.	{0} kilogramy	Naměřili jsme 3 kilogramy.	{0} kilogramu	Naměřili jsme 0,1 kilogramu.	{0} kilogramů	Naměřili jsme 5 kilogramů.
mass	kilograms	inanimate	Jeden kilogram stál 135 Kč.	genitive	{0} kilogramu	Bez 1 kilogramu se obejdeme.	{0} kilogramů	Bez 3 kilogramů se obejdeme.	{0} kilogramu	Bez 0,1 kilogramu se obejdeme.	{0} kilogramů	Bez 5 kilogramů se obejdeme.
mass	kilograms	inanimate	Jeden kilogram stál 135 Kč.	locative	{0} kilogramu	Po 1 kilogramu se zastavil.	{0} kilogramech	Po 3 kilogramech se zastavil.	{0} kilogramu	Po 0,1 kilogramu se zastavil.	{0} kilogramech	Po 5 kilogramech se zastavil.
mass	kilograms	inanimate	Jeden kilogram stál 135 Kč.	dative	{0} kilogramu	Díky 1 kilogramu navíc to mohl stihnout.	{0} kilogramům	Díky 3 kilogramům navíc to mohl stihnout.	{0} kilogramu	Díky 0,1 kilogramu navíc to mohl stihnout.	{0} kilogramům	Díky 5 kilogramům navíc to mohl stihnout.
mass	kilograms	inanimate	Jeden kilogram stál 135 Kč.	instrumental	{0} kilogramem	Spokojíme se s 1 kilogramem.	{0} kilogramy	Spokojíme se s 3 kilogramy.	{0} kilogramu	Spokojíme se s 0,1 kilogramu.	{0} kilogramy	Spokojíme se s 5 kilogramy.
mass	stone • ( = 6.35029318 kg)	n/a	n/a	nominative	{0} kámen	Chybí ještě 1 kámen.	{0} kameny	Chybí ještě 3 kameny.	{0} kamene	Chybí ještě 0,1 kamene.	{0} kamenů	Chybí ještě 5 kamenů.
mass	stone • ( = 6.35029318 kg)	n/a	n/a	accusative	{0} kámen	Naměřili jsme 1 kámen.	{0} kameny	Naměřili jsme 3 kameny.	{0} kamene	Naměřili jsme 0,1 kamene.	{0} kamenů	Naměřili jsme 5 kamenů.
mass	stone • ( = 6.35029318 kg)	n/a	n/a	genitive	{0} kámen	Bez 1 kámen se obejdeme.	{0} kameny	Bez 3 kameny se obejdeme.	{0} kamene	Bez 0,1 kamene se obejdeme.	{0} kamenů	Bez 5 kamenů se obejdeme.
mass	stone • ( = 6.35029318 kg)	n/a	n/a	locative	{0} kámen	Po 1 kámen se zastavil.	{0} kameny	Po 3 kameny se zastavil.	{0} kamene	Po 0,1 kamene se zastavil.	{0} kamenů	Po 5 kamenů se zastavil.
mass	stone • ( = 6.35029318 kg)	n/a	n/a	dative	{0} kámen	Díky 1 kámen navíc to mohl stihnout.	{0} kameny	Díky 3 kameny navíc to mohl stihnout.	{0} kamene	Díky 0,1 kamene navíc to mohl stihnout.	{0} kamenů	Díky 5 kamenů navíc to mohl stihnout.
mass	stone • ( = 6.35029318 kg)	n/a	n/a	instrumental	{0} kámen	Spokojíme se s 1 kámen.	{0} kameny	Spokojíme se s 3 kameny.	{0} kamene	Spokojíme se s 0,1 kamene.	{0} kamenů	Spokojíme se s 5 kamenů.
