# Grammatical Features
#Locale	ID	Feature	Usage	Values
Slovenian	sl	grammaticalCase	general	nominative, accusative, genitive, locative, dative, instrumental
Slovenian	sl	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dan	<div class='cldr_example'><span class='cldr_substituted'>1</span> dan</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dan</div>
Plural	two	{0} dneva	<div class='cldr_example'><span class='cldr_substituted'>2</span> dneva</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dneva</div>
Plural	few	{0} dnevi	<div class='cldr_example'><span class='cldr_substituted'>3</span> dnevi</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dnevi</div>
Plural	other	{0} dni	<div class='cldr_example'><span class='cldr_substituted'>5</span> dni</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3</span> dni</div>
Case (for measurement units)	nominative	{0} je	<div class='cldr_example'><span class='cldr_substituted'>2 kvadratna metra</span> je</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3 kvadratne metre</span> je</div>
Case (for measurement units)	accusative	čez {0}	<div class='cldr_example'>čez <span class='cldr_substituted'>3 kvadratne metre</span></div><div class='cldr_example'>❌  čez <span class='cldr_substituted'>1 kvadratnemu metru</span></div>
Case (for measurement units)	genitive	brez {0}	<div class='cldr_example'>brez <span class='cldr_substituted'>1 kvadratnega metra</span></div><div class='cldr_example'>❌  brez <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	locative	po {0}	<div class='cldr_example'>po <span class='cldr_substituted'>1 kvadratnem metru</span></div><div class='cldr_example'>❌  po <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	dative	kljub {0}	<div class='cldr_example'>kljub <span class='cldr_substituted'>1 kvadratnemu metru</span></div><div class='cldr_example'>❌  kljub <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	instrumental	s/z {0}	<div class='cldr_example'>s/z <span class='cldr_substituted'>1 kvadratnim metrom</span></div><div class='cldr_example'>❌  s/z <span class='cldr_substituted'>3 kvadratne metre</span></div>
Gender (for measurement units)	masculine	On {0}	<div class='cldr_example'>On <span class='cldr_substituted'>dan</span></div><div class='cldr_example'>❌  On <span class='cldr_substituted'>ura</span></div>
Gender (for measurement units)	feminine	Ona {0}	<div class='cldr_example'>Ona <span class='cldr_substituted'>ura</span></div><div class='cldr_example'>❌  Ona <span class='cldr_substituted'>dan</span></div>
Gender (for measurement units)	neuter	Ono {0}	<div class='cldr_example'>Ono <span class='cldr_substituted'>leto</span></div><div class='cldr_example'>❌  Ono <span class='cldr_substituted'>ura</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 101.0	Pattern for two	Case MP + pattern with 102.0	Pattern for few	Case MP + pattern with 4.0	Pattern for other	Case MP + pattern with 5.0
mass	grain • ( = 64.79891 mg)	n/a	n/a	accusative	{0} gran	čez 101 gran	{0} grana	čez 102 grana	{0} grani	čez 4 grani	{0} granov	čez 5 granov
mass	grain • ( = 64.79891 mg)	n/a	n/a	genitive	{0} gran	brez 101 gran	{0} grana	brez 102 grana	{0} grani	brez 4 grani	{0} granov	brez 5 granov
mass	grain • ( = 64.79891 mg)	n/a	n/a	locative	{0} gran	po 101 gran	{0} grana	po 102 grana	{0} grani	po 4 grani	{0} granov	po 5 granov
mass	grain • ( = 64.79891 mg)	n/a	n/a	dative	{0} gran	kljub 101 gran	{0} grana	kljub 102 grana	{0} grani	kljub 4 grani	{0} granov	kljub 5 granov
mass	grain • ( = 64.79891 mg)	n/a	n/a	instrumental	{0} gran	s/z 101 gran	{0} grana	s/z 102 grana	{0} grani	s/z 4 grani	{0} granov	s/z 5 granov
mass	carat • ( = 200 mg)	masculine	On karat	nominative	{0} karat	101 karat je	{0} karata	102 karata je	{0} karati	4 karati je	{0} karatov	5 karatov je
mass	carat • ( = 200 mg)	masculine	On karat	accusative	{0} karat	čez 101 karat	{0} karata	čez 102 karata	{0} karate	čez 4 karate	{0} karatov	čez 5 karatov
mass	carat • ( = 200 mg)	masculine	On karat	genitive	{0} karata	brez 101 karata	{0} karatov	brez 102 karatov	{0} karatov	brez 4 karatov	{0} karatov	brez 5 karatov
mass	carat • ( = 200 mg)	masculine	On karat	locative	{0} karatu	po 101 karatu	{0} karatih	po 102 karatih	{0} karatih	po 4 karatih	{0} karatih	po 5 karatih
mass	carat • ( = 200 mg)	masculine	On karat	dative	{0} karatu	kljub 101 karatu	{0} karatoma	kljub 102 karatoma	{0} karatom	kljub 4 karatom	{0} karatom	kljub 5 karatom
mass	carat • ( = 200 mg)	masculine	On karat	instrumental	{0} karatom	s/z 101 karatom	{0} karatoma	s/z 102 karatoma	{0} karati	s/z 4 karati	{0} karati	s/z 5 karati
mass	grams	masculine	On gram	nominative	{0} gram	101 gram je	{0} grama	102 grama je	{0} grami	4 grami je	{0} gramov	5 gramov je
mass	grams	masculine	On gram	accusative	{0} gram	čez 101 gram	{0} grama	čez 102 grama	{0} grame	čez 4 grame	{0} gramov	čez 5 gramov
mass	grams	masculine	On gram	genitive	{0} grama	brez 101 grama	{0} gramov	brez 102 gramov	{0} gramov	brez 4 gramov	{0} gramov	brez 5 gramov
mass	grams	masculine	On gram	locative	{0} gramu	po 101 gramu	{0} gramih	po 102 gramih	{0} gramih	po 4 gramih	{0} gramih	po 5 gramih
mass	grams	masculine	On gram	dative	{0} gramu	kljub 101 gramu	{0} gramoma	kljub 102 gramoma	{0} gramom	kljub 4 gramom	{0} gramom	kljub 5 gramom
mass	grams	masculine	On gram	instrumental	{0} gramom	s/z 101 gramom	{0} gramoma	s/z 102 gramoma	{0} grami	s/z 4 grami	{0} grami	s/z 5 grami
mass	ounce • ( = 28.349523125 g)	n/a	n/a	nominative	{0} unča	101 unča je	{0} unči	102 unči je	{0} unče	4 unče je	{0} unč	5 unč je
mass	ounce • ( = 28.349523125 g)	n/a	n/a	accusative	{0} unča	čez 101 unča	{0} unči	čez 102 unči	{0} unče	čez 4 unče	{0} unč	čez 5 unč
mass	ounce • ( = 28.349523125 g)	n/a	n/a	genitive	{0} unča	brez 101 unča	{0} unči	brez 102 unči	{0} unče	brez 4 unče	{0} unč	brez 5 unč
mass	ounce • ( = 28.349523125 g)	n/a	n/a	locative	{0} unča	po 101 unča	{0} unči	po 102 unči	{0} unče	po 4 unče	{0} unč	po 5 unč
mass	ounce • ( = 28.349523125 g)	n/a	n/a	dative	{0} unča	kljub 101 unča	{0} unči	kljub 102 unči	{0} unče	kljub 4 unče	{0} unč	kljub 5 unč
mass	ounce • ( = 28.349523125 g)	n/a	n/a	instrumental	{0} unča	s/z 101 unča	{0} unči	s/z 102 unči	{0} unče	s/z 4 unče	{0} unč	s/z 5 unč
mass	ounce-troy • ( = 31.10348 g)	n/a	n/a	nominative	{0} trojanska unča	101 trojanska unča je	{0} trojanski unči	102 trojanski unči je	{0} trojanske unče	4 trojanske unče je	{0} trojanskih unč	5 trojanskih unč je
mass	ounce-troy • ( = 31.10348 g)	n/a	n/a	accusative	{0} trojanska unča	čez 101 trojanska unča	{0} trojanski unči	čez 102 trojanski unči	{0} trojanske unče	čez 4 trojanske unče	{0} trojanskih unč	čez 5 trojanskih unč
mass	ounce-troy • ( = 31.10348 g)	n/a	n/a	genitive	{0} trojanska unča	brez 101 trojanska unča	{0} trojanski unči	brez 102 trojanski unči	{0} trojanske unče	brez 4 trojanske unče	{0} trojanskih unč	brez 5 trojanskih unč
mass	ounce-troy • ( = 31.10348 g)	n/a	n/a	locative	{0} trojanska unča	po 101 trojanska unča	{0} trojanski unči	po 102 trojanski unči	{0} trojanske unče	po 4 trojanske unče	{0} trojanskih unč	po 5 trojanskih unč
mass	ounce-troy • ( = 31.10348 g)	n/a	n/a	dative	{0} trojanska unča	kljub 101 trojanska unča	{0} trojanski unči	kljub 102 trojanski unči	{0} trojanske unče	kljub 4 trojanske unče	{0} trojanskih unč	kljub 5 trojanskih unč
mass	ounce-troy • ( = 31.10348 g)	n/a	n/a	instrumental	{0} trojanska unča	s/z 101 trojanska unča	{0} trojanski unči	s/z 102 trojanski unči	{0} trojanske unče	s/z 4 trojanske unče	{0} trojanskih unč	s/z 5 trojanskih unč
mass	pound • ( = 453.59237 g)	n/a	n/a	nominative	{0} funt	101 funt je	{0} funta	102 funta je	{0} funti	4 funti je	{0} funtov	5 funtov je
mass	pound • ( = 453.59237 g)	n/a	n/a	accusative	{0} funt	čez 101 funt	{0} funta	čez 102 funta	{0} funti	čez 4 funti	{0} funtov	čez 5 funtov
mass	pound • ( = 453.59237 g)	n/a	n/a	genitive	{0} funt	brez 101 funt	{0} funta	brez 102 funta	{0} funti	brez 4 funti	{0} funtov	brez 5 funtov
mass	pound • ( = 453.59237 g)	n/a	n/a	locative	{0} funt	po 101 funt	{0} funta	po 102 funta	{0} funti	po 4 funti	{0} funtov	po 5 funtov
mass	pound • ( = 453.59237 g)	n/a	n/a	dative	{0} funt	kljub 101 funt	{0} funta	kljub 102 funta	{0} funti	kljub 4 funti	{0} funtov	kljub 5 funtov
mass	pound • ( = 453.59237 g)	n/a	n/a	instrumental	{0} funt	s/z 101 funt	{0} funta	s/z 102 funta	{0} funti	s/z 4 funti	{0} funtov	s/z 5 funtov
mass	kilograms	masculine	On kilogram	nominative	{0} kilogram	101 kilogram je	{0} kilograma	102 kilograma je	{0} kilogrami	4 kilogrami je	{0} kilogramov	5 kilogramov je
mass	kilograms	masculine	On kilogram	accusative	{0} kilogram	čez 101 kilogram	{0} kilograma	čez 102 kilograma	{0} kilograme	čez 4 kilograme	{0} kilogramov	čez 5 kilogramov
mass	kilograms	masculine	On kilogram	genitive	{0} kilograma	brez 101 kilograma	{0} kilogramov	brez 102 kilogramov	{0} kilogramov	brez 4 kilogramov	{0} kilogramov	brez 5 kilogramov
mass	kilograms	masculine	On kilogram	locative	{0} kilogramu	po 101 kilogramu	{0} kilogramih	po 102 kilogramih	{0} kilogramih	po 4 kilogramih	{0} kilogramih	po 5 kilogramih
mass	kilograms	masculine	On kilogram	dative	{0} kilogramu	kljub 101 kilogramu	{0} kilogramoma	kljub 102 kilogramoma	{0} kilogramom	kljub 4 kilogramom	{0} kilogramom	kljub 5 kilogramom
mass	kilograms	masculine	On kilogram	instrumental	{0} kilogramom	s/z 101 kilogramom	{0} kilogramoma	s/z 102 kilogramoma	{0} kilogrami	s/z 4 kilogrami	{0} kilogrami	s/z 5 kilogrami
mass	stone • ( = 6.35029318 kg)	n/a	n/a	nominative	{0} stone	101 stone je	{0} stona	102 stona je	{0} stoni	4 stoni je	{0} stonov	5 stonov je
mass	stone • ( = 6.35029318 kg)	n/a	n/a	accusative	{0} stone	čez 101 stone	{0} stona	čez 102 stona	{0} stoni	čez 4 stoni	{0} stonov	čez 5 stonov
mass	stone • ( = 6.35029318 kg)	n/a	n/a	genitive	{0} stone	brez 101 stone	{0} stona	brez 102 stona	{0} stoni	brez 4 stoni	{0} stonov	brez 5 stonov
mass	stone • ( = 6.35029318 kg)	n/a	n/a	locative	{0} stone	po 101 stone	{0} stona	po 102 stona	{0} stoni	po 4 stoni	{0} stonov	po 5 stonov
mass	stone • ( = 6.35029318 kg)	n/a	n/a	dative	{0} stone	kljub 101 stone	{0} stona	kljub 102 stona	{0} stoni	kljub 4 stoni	{0} stonov	kljub 5 stonov
mass	stone • ( = 6.35029318 kg)	n/a	n/a	instrumental	{0} stone	s/z 101 stone	{0} stona	s/z 102 stona	{0} stoni	s/z 4 stoni	{0} stonov	s/z 5 stonov
mass	ton • ( = 0.90718474 t)	n/a	n/a	nominative	{0} ameriška tona	101 ameriška tona je	{0} ameriški toni	102 ameriški toni je	{0} ameriške tone	4 ameriške tone je	{0} ameriških ton	5 ameriških ton je
mass	ton • ( = 0.90718474 t)	n/a	n/a	accusative	{0} ameriška tona	čez 101 ameriška tona	{0} ameriški toni	čez 102 ameriški toni	{0} ameriške tone	čez 4 ameriške tone	{0} ameriških ton	čez 5 ameriških ton
mass	ton • ( = 0.90718474 t)	n/a	n/a	genitive	{0} ameriška tona	brez 101 ameriška tona	{0} ameriški toni	brez 102 ameriški toni	{0} ameriške tone	brez 4 ameriške tone	{0} ameriških ton	brez 5 ameriških ton
mass	ton • ( = 0.90718474 t)	n/a	n/a	locative	{0} ameriška tona	po 101 ameriška tona	{0} ameriški toni	po 102 ameriški toni	{0} ameriške tone	po 4 ameriške tone	{0} ameriških ton	po 5 ameriških ton
mass	ton • ( = 0.90718474 t)	n/a	n/a	dative	{0} ameriška tona	kljub 101 ameriška tona	{0} ameriški toni	kljub 102 ameriški toni	{0} ameriške tone	kljub 4 ameriške tone	{0} ameriških ton	kljub 5 ameriških ton
mass	ton • ( = 0.90718474 t)	n/a	n/a	instrumental	{0} ameriška tona	s/z 101 ameriška tona	{0} ameriški toni	s/z 102 ameriški toni	{0} ameriške tone	s/z 4 ameriške tone	{0} ameriških ton	s/z 5 ameriških ton
mass	metric tons	feminine	Ona metrična tona	nominative	{0} metrična tona	101 metrična tona je	{0} metrični toni	102 metrični toni je	{0} metrične tone	4 metrične tone je	{0} metričnih ton	5 metričnih ton je
mass	metric tons	feminine	Ona metrična tona	accusative	{0} metrično tono	čez 101 metrično tono	{0} metrični toni	čez 102 metrični toni	{0} metrične tone	čez 4 metrične tone	{0} metričnih ton	čez 5 metričnih ton
mass	metric tons	feminine	Ona metrična tona	genitive	{0} metrične tone	brez 101 metrične tone	{0} metričnih ton	brez 102 metričnih ton	{0} metričnih ton	brez 4 metričnih ton	{0} metričnih ton	brez 5 metričnih ton
mass	metric tons	feminine	Ona metrična tona	locative	{0} metrični toni	po 101 metrični toni	{0} metričnih tonah	po 102 metričnih tonah	{0} metričnih tonah	po 4 metričnih tonah	{0} metričnih tonah	po 5 metričnih tonah
mass	metric tons	feminine	Ona metrična tona	dative	{0} metrični toni	kljub 101 metrični toni	{0} metričnima tonama	kljub 102 metričnima tonama	{0} metričnim tonam	kljub 4 metričnim tonam	{0} metričnim tonam	kljub 5 metričnim tonam
mass	metric tons	feminine	Ona metrična tona	instrumental	{0} metrično tono	s/z 101 metrično tono	{0} metričnima tonama	s/z 102 metričnima tonama	{0} metričnimi tonami	s/z 4 metričnimi tonami	{0} metričnimi tonami	s/z 5 metričnimi tonami
mass	earth-mass • ( = 5972200000000000000000 t)	n/a	n/a	nominative	{0} masa Zemlje	101 masa Zemlje je	{0} masi Zemlje	102 masi Zemlje je	{0} mase Zemlje	4 mase Zemlje je	{0} mas Zemlje	5 mas Zemlje je
mass	earth-mass • ( = 5972200000000000000000 t)	n/a	n/a	accusative	{0} masa Zemlje	čez 101 masa Zemlje	{0} masi Zemlje	čez 102 masi Zemlje	{0} mase Zemlje	čez 4 mase Zemlje	{0} mas Zemlje	čez 5 mas Zemlje
mass	earth-mass • ( = 5972200000000000000000 t)	n/a	n/a	genitive	{0} masa Zemlje	brez 101 masa Zemlje	{0} masi Zemlje	brez 102 masi Zemlje	{0} mase Zemlje	brez 4 mase Zemlje	{0} mas Zemlje	brez 5 mas Zemlje
mass	earth-mass • ( = 5972200000000000000000 t)	n/a	n/a	locative	{0} masa Zemlje	po 101 masa Zemlje	{0} masi Zemlje	po 102 masi Zemlje	{0} mase Zemlje	po 4 mase Zemlje	{0} mas Zemlje	po 5 mas Zemlje
mass	earth-mass • ( = 5972200000000000000000 t)	n/a	n/a	dative	{0} masa Zemlje	kljub 101 masa Zemlje	{0} masi Zemlje	kljub 102 masi Zemlje	{0} mase Zemlje	kljub 4 mase Zemlje	{0} mas Zemlje	kljub 5 mas Zemlje
mass	earth-mass • ( = 5972200000000000000000 t)	n/a	n/a	instrumental	{0} masa Zemlje	s/z 101 masa Zemlje	{0} masi Zemlje	s/z 102 masi Zemlje	{0} mase Zemlje	s/z 4 mase Zemlje	{0} mas Zemlje	s/z 5 mas Zemlje
mass	solar-mass • ( = 1988470000000000000000000000 t)	n/a	n/a	nominative	{0} masa sonca	101 masa sonca je	{0} masi sonca	102 masi sonca je	{0} mase sonca	4 mase sonca je	{0} mas sonca	5 mas sonca je
mass	solar-mass • ( = 1988470000000000000000000000 t)	n/a	n/a	accusative	{0} masa sonca	čez 101 masa sonca	{0} masi sonca	čez 102 masi sonca	{0} mase sonca	čez 4 mase sonca	{0} mas sonca	čez 5 mas sonca
mass	solar-mass • ( = 1988470000000000000000000000 t)	n/a	n/a	genitive	{0} masa sonca	brez 101 masa sonca	{0} masi sonca	brez 102 masi sonca	{0} mase sonca	brez 4 mase sonca	{0} mas sonca	brez 5 mas sonca
mass	solar-mass • ( = 1988470000000000000000000000 t)	n/a	n/a	locative	{0} masa sonca	po 101 masa sonca	{0} masi sonca	po 102 masi sonca	{0} mase sonca	po 4 mase sonca	{0} mas sonca	po 5 mas sonca
mass	solar-mass • ( = 1988470000000000000000000000 t)	n/a	n/a	dative	{0} masa sonca	kljub 101 masa sonca	{0} masi sonca	kljub 102 masi sonca	{0} mase sonca	kljub 4 mase sonca	{0} mas sonca	kljub 5 mas sonca
mass	solar-mass • ( = 1988470000000000000000000000 t)	n/a	n/a	instrumental	{0} masa sonca	s/z 101 masa sonca	{0} masi sonca	s/z 102 masi sonca	{0} mase sonca	s/z 4 mase sonca	{0} mas sonca	s/z 5 mas sonca
night-duration	nights	n/a	n/a	nominative	{0} night	101 night je	{0} night	102 night je	{0} night	4 night je	{0} night	5 night je
night-duration	nights	n/a	n/a	accusative	{0} night	čez 101 night	{0} night	čez 102 night	{0} night	čez 4 night	{0} night	čez 5 night
night-duration	nights	n/a	n/a	genitive	{0} night	brez 101 night	{0} night	brez 102 night	{0} night	brez 4 night	{0} night	brez 5 night
night-duration	nights	n/a	n/a	locative	{0} night	po 101 night	{0} night	po 102 night	{0} night	po 4 night	{0} night	po 5 night
night-duration	nights	n/a	n/a	dative	{0} night	kljub 101 night	{0} night	kljub 102 night	{0} night	kljub 4 night	{0} night	kljub 5 night
night-duration	nights	n/a	n/a	instrumental	{0} night	s/z 101 night	{0} night	s/z 102 night	{0} night	s/z 4 night	{0} night	s/z 5 night
portion	parts per billion	n/a	n/a	nominative	{0} ppb	101 ppb je	{0} ppb	102 ppb je	{0} ppb	4 ppb je	{0} ppb	5 ppb je
portion	parts per billion	n/a	n/a	accusative	{0} ppb	čez 101 ppb	{0} ppb	čez 102 ppb	{0} ppb	čez 4 ppb	{0} ppb	čez 5 ppb
portion	parts per billion	n/a	n/a	genitive	{0} ppb	brez 101 ppb	{0} ppb	brez 102 ppb	{0} ppb	brez 4 ppb	{0} ppb	brez 5 ppb
portion	parts per billion	n/a	n/a	locative	{0} ppb	po 101 ppb	{0} ppb	po 102 ppb	{0} ppb	po 4 ppb	{0} ppb	po 5 ppb
portion	parts per billion	n/a	n/a	dative	{0} ppb	kljub 101 ppb	{0} ppb	kljub 102 ppb	{0} ppb	kljub 4 ppb	{0} ppb	kljub 5 ppb
portion	parts per billion	n/a	n/a	instrumental	{0} ppb	s/z 101 ppb	{0} ppb	s/z 102 ppb	{0} ppb	s/z 4 ppb	{0} ppb	s/z 5 ppb
portion	parts per million	masculine	On delec na milijon	nominative	{0} delec na milijon	101 delec na milijon je	{0} delca na milijon	102 delca na milijon je	{0} delci na milijon	4 delci na milijon je	{0} delcev na milijon	5 delcev na milijon je
portion	parts per million	masculine	On delec na milijon	accusative	{0} delec na milijon	čez 101 delec na milijon	{0} delca na milijon	čez 102 delca na milijon	{0} delce na milijon	čez 4 delce na milijon	{0} delcev na milijon	čez 5 delcev na milijon
portion	parts per million	masculine	On delec na milijon	genitive	{0} delca na milijon	brez 101 delca na milijon	{0} delcev na milijon	brez 102 delcev na milijon	{0} delcev na milijon	brez 4 delcev na milijon	{0} delcev na milijon	brez 5 delcev na milijon
portion	parts per million	masculine	On delec na milijon	locative	{0} delcu na milijon	po 101 delcu na milijon	{0} delcih na milijon	po 102 delcih na milijon	{0} delcih na milijon	po 4 delcih na milijon	{0} delcih na milijon	po 5 delcih na milijon
portion	parts per million	masculine	On delec na milijon	dative	{0} delcu na milijon	kljub 101 delcu na milijon	{0} delcema na milijon	kljub 102 delcema na milijon	{0} delcem na milijon	kljub 4 delcem na milijon	{0} delcem na milijon	kljub 5 delcem na milijon
portion	parts per million	masculine	On delec na milijon	instrumental	{0} delcem na milijon	s/z 101 delcem na milijon	{0} delcema na milijon	s/z 102 delcema na milijon	{0} delci na milijon	s/z 4 delci na milijon	{0} delci na milijon	s/z 5 delci na milijon
portion	permyriad	feminine	Ona desettisočina	nominative	{0} desettisočina	101 desettisočina je	{0} desettisočini	102 desettisočini je	{0} desettisočine	4 desettisočine je	{0} desettisočin	5 desettisočin je
portion	permyriad	feminine	Ona desettisočina	accusative	{0} desettisočino	čez 101 desettisočino	{0} desettisočini	čez 102 desettisočini	{0} desettisočine	čez 4 desettisočine	{0} desettisočin	čez 5 desettisočin
portion	permyriad	feminine	Ona desettisočina	genitive	{0} desettisočine	brez 101 desettisočine	{0} desettisočin	brez 102 desettisočin	{0} desettisočin	brez 4 desettisočin	{0} desettisočin	brez 5 desettisočin
portion	permyriad	feminine	Ona desettisočina	locative	{0} desettisočini	po 101 desettisočini	{0} desettisočinah	po 102 desettisočinah	{0} desettisočinah	po 4 desettisočinah	{0} desettisočinah	po 5 desettisočinah
portion	permyriad	feminine	Ona desettisočina	dative	{0} desettisočini	kljub 101 desettisočini	{0} desettisočinama	kljub 102 desettisočinama	{0} desettisočinam	kljub 4 desettisočinam	{0} desettisočinam	kljub 5 desettisočinam
portion	permyriad	feminine	Ona desettisočina	instrumental	{0} desettisočino	s/z 101 desettisočino	{0} desettisočinama	s/z 102 desettisočinama	{0} desettisočinami	s/z 4 desettisočinami	{0} desettisočinami	s/z 5 desettisočinami
portion	permille	masculine	On promile	nominative	{0} promile	101 promile je	{0} promila	102 promila je	{0} promili	4 promili je	{0} promilov	5 promilov je
portion	permille	masculine	On promile	accusative	{0} promile	čez 101 promile	{0} promila	čez 102 promila	{0} promile	čez 4 promile	{0} promilov	čez 5 promilov
portion	permille	masculine	On promile	genitive	{0} promila	brez 101 promila	{0} promilov	brez 102 promilov	{0} promilov	brez 4 promilov	{0} promilov	brez 5 promilov
portion	permille	masculine	On promile	locative	{0} promilu	po 101 promilu	{0} promililih	po 102 promililih	{0} promilih	po 4 promilih	{0} promilih	po 5 promilih
portion	permille	masculine	On promile	dative	{0} promilu	kljub 101 promilu	{0} promiloma	kljub 102 promiloma	{0} promilom	kljub 4 promilom	{0} promilom	kljub 5 promilom
portion	permille	masculine	On promile	instrumental	{0} promilom	s/z 101 promilom	{0} promiloma	s/z 102 promiloma	{0} promili	s/z 4 promili	{0} promili	s/z 5 promili
portion	percent	masculine	On odstotek	nominative	{0} odstotek	101 odstotek je	{0} odstotka	102 odstotka je	{0} odstotki	4 odstotki je	{0} odstotkov	5 odstotkov je
portion	percent	masculine	On odstotek	accusative	{0} odstotek	čez 101 odstotek	{0} odstotka	čez 102 odstotka	{0} odstotke	čez 4 odstotke	{0} odstotkov	čez 5 odstotkov
portion	percent	masculine	On odstotek	genitive	{0} odstotka	brez 101 odstotka	{0} odstotkov	brez 102 odstotkov	{0} odstotkov	brez 4 odstotkov	{0} odstotkov	brez 5 odstotkov
portion	percent	masculine	On odstotek	locative	{0} odstotku	po 101 odstotku	{0} odstotkih	po 102 odstotkih	{0} odstotkih	po 4 odstotkih	{0} odstotkih	po 5 odstotkih
portion	percent	masculine	On odstotek	dative	{0} odstotku	kljub 101 odstotku	{0} odstotkoma	kljub 102 odstotkoma	{0} odstotkom	kljub 4 odstotkom	{0} odstotkom	kljub 5 odstotkom
portion	percent	masculine	On odstotek	instrumental	{0} odstotkom	s/z 101 odstotkom	{0} odstotkoma	s/z 102 odstotkoma	{0} odstotki	s/z 4 odstotki	{0} odstotki	s/z 5 odstotki
portion	karat • ( = 4.1˙6%)	masculine	On karat	nominative	{0} karat	101 karat je	{0} karata	102 karata je	{0} karati	4 karati je	{0} karatov	5 karatov je
portion	karat • ( = 4.1˙6%)	masculine	On karat	accusative	{0} karat	čez 101 karat	{0} karata	čez 102 karata	{0} karate	čez 4 karate	{0} karatov	čez 5 karatov
portion	karat • ( = 4.1˙6%)	masculine	On karat	genitive	{0} karata	brez 101 karata	{0} karatov	brez 102 karatov	{0} karatov	brez 4 karatov	{0} karatov	brez 5 karatov
portion	karat • ( = 4.1˙6%)	masculine	On karat	locative	{0} karatu	po 101 karatu	{0} karatih	po 102 karatih	{0} karatih	po 4 karatih	{0} karatih	po 5 karatih
portion	karat • ( = 4.1˙6%)	masculine	On karat	dative	{0} karatu	kljub 101 karatu	{0} karatoma	kljub 102 karatoma	{0} karatom	kljub 4 karatom	{0} karatom	kljub 5 karatom
portion	karat • ( = 4.1˙6%)	masculine	On karat	instrumental	{0} karatom	s/z 101 karatom	{0} karatoma	s/z 102 karatoma	{0} karati	s/z 4 karati	{0} karati	s/z 5 karati
power	milliwatts	masculine	On milivat	nominative	{0} milivat	101 milivat je	{0} milivata	102 milivata je	{0} milivati	4 milivati je	{0} milivatov	5 milivatov je
power	milliwatts	masculine	On milivat	accusative	{0} milivat	čez 101 milivat	{0} milivata	čez 102 milivata	{0} milivate	čez 4 milivate	{0} milivatov	čez 5 milivatov
power	milliwatts	masculine	On milivat	genitive	{0} milivata	brez 101 milivata	{0} milivatov	brez 102 milivatov	{0} milivatov	brez 4 milivatov	{0} milivatov	brez 5 milivatov
power	milliwatts	masculine	On milivat	locative	{0} milivatu	po 101 milivatu	{0} milivatih	po 102 milivatih	{0} milivatih	po 4 milivatih	{0} milivatih	po 5 milivatih
power	milliwatts	masculine	On milivat	dative	{0} milivatu	kljub 101 milivatu	{0} milivatoma	kljub 102 milivatoma	{0} milivatom	kljub 4 milivatom	{0} milivatom	kljub 5 milivatom
power	milliwatts	masculine	On milivat	instrumental	{0} milivatom	s/z 101 milivatom	{0} milivatoma	s/z 102 milivatoma	{0} milivati	s/z 4 milivati	{0} milivati	s/z 5 milivati
power	watts	masculine	On vat	nominative	{0} vat	101 vat je	{0} vata	102 vata je	{0} vati	4 vati je	{0} vatov	5 vatov je
power	watts	masculine	On vat	accusative	{0} vat	čez 101 vat	{0} vata	čez 102 vata	{0} vate	čez 4 vate	{0} vatov	čez 5 vatov
power	watts	masculine	On vat	genitive	{0} vata	brez 101 vata	{0} vatov	brez 102 vatov	{0} vatov	brez 4 vatov	{0} vatov	brez 5 vatov
power	watts	masculine	On vat	locative	{0} vatu	po 101 vatu	{0} vatih	po 102 vatih	{0} vatih	po 4 vatih	{0} vatih	po 5 vatih
power	watts	masculine	On vat	dative	{0} vatu	kljub 101 vatu	{0} vatoma	kljub 102 vatoma	{0} vatom	kljub 4 vatom	{0} vatom	kljub 5 vatom
power	watts	masculine	On vat	instrumental	{0} vatom	s/z 101 vatom	{0} vatoma	s/z 102 vatoma	{0} vati	s/z 4 vati	{0} vati	s/z 5 vati
power	horsepower • ( = 0.74569987158227022 kW)	n/a	n/a	nominative	{0} konjska moč	101 konjska moč je	{0} konjski moči	102 konjski moči je	{0} konjske moči	4 konjske moči je	{0} konjskih moči	5 konjskih moči je
power	horsepower • ( = 0.74569987158227022 kW)	n/a	n/a	accusative	{0} konjska moč	čez 101 konjska moč	{0} konjski moči	čez 102 konjski moči	{0} konjske moči	čez 4 konjske moči	{0} konjskih moči	čez 5 konjskih moči
power	horsepower • ( = 0.74569987158227022 kW)	n/a	n/a	genitive	{0} konjska moč	brez 101 konjska moč	{0} konjski moči	brez 102 konjski moči	{0} konjske moči	brez 4 konjske moči	{0} konjskih moči	brez 5 konjskih moči
